transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP05520031452	Well annotated
DIO.3.selenocysteine	ENSP05520068315	Well annotated
DIO.3.selenocysteine	ENSP05520068316	Well annotated
DIO.3.selenocysteine	ENSP05520068318	Upstream
DIO.3.selenocysteine	ENSP05520068319	Out of frame
DIO.3.selenocysteine	ENSP05520068323	Upstream
DIO.3.selenocysteine	ENSP05520068325	Upstream
DIO.3.selenocysteine	ENSP05520068326	Upstream
DIO.3.selenocysteine	ENSP05520068329	Upstream
DIO.4.selenocysteine	ENSP05520062640	Well annotated
DIO.4.selenocysteine	ENSP05520062642	Well annotated
DIO.4.selenocysteine	ENSP05520062643	Well annotated
DIO.4.selenocysteine	ENSP05520062645	Out of frame
DIO.4.selenocysteine	ENSP05520062647	Out of frame
DIO.4.selenocysteine	ENSP05520062649	Out of frame
DIO.4.selenocysteine	ENSP05520062652	Upstream
DIO.4.selenocysteine	ENSP05520062657	Upstream
DIO.4.selenocysteine	ENSP05520062661	Well annotated
DIO.4.selenocysteine	ENSP05520062666	Upstream
DIO.4.selenocysteine	ENSP05520062669	Downstream
DIO.4.selenocysteine	ENSP05520062671	Skipped
DIO.4.selenocysteine	ENSP05520062675	Out of frame
DIO.4.selenocysteine	ENSP05520062680	Skipped
DIO.4.selenocysteine	ENSP05520062683	Stop codon
GPX.11.selenocysteine	ENSP05520066492	Well annotated
GPX.11.selenocysteine	ENSP05520066497	Well annotated
GPX.11.selenocysteine	ENSP05520066501	Well annotated
GPX.11.selenocysteine	ENSP05520066505	Well annotated
GPX.11.selenocysteine	ENSP05520066509	Well annotated
GPX.11.selenocysteine	ENSP05520066510	Well annotated
GPX.11.selenocysteine	ENSP05520066513	Well annotated
GPX.11.selenocysteine	ENSP05520066514	Well annotated
GPX.11.selenocysteine	ENSP05520066521	Downstream
GPX.11.selenocysteine	ENSP05520066524	Skipped
GPX.11.selenocysteine	ENSP05520066527	Skipped
GPX.16.selenocysteine	ENSP05520069609	Well annotated
GPX.16.selenocysteine	ENSP05520069612	Well annotated
GPX.16.selenocysteine	ENSP05520069615	Upstream
GPX.16.selenocysteine	ENSP05520069617	Upstream
GPX.16.selenocysteine	ENSP05520069621	Out of frame
GPX.16.selenocysteine	ENSP05520069625	Stop codon
GPX.16.selenocysteine	ENSP05520069626	Skipped
GPX.18.selenocysteine	ENSP05520000126	Well annotated
GPX.18.selenocysteine	ENSP05520000127	Well annotated
GPX.18.selenocysteine	ENSP05520000128	Skipped
GPX.2.selenocysteine	ENSP05520066735	Well annotated
GPX.2.selenocysteine	ENSP05520066736	Well annotated
GPX.2.selenocysteine	ENSP05520066738	Skipped
GPX.2.selenocysteine	ENSP05520066740	Well annotated
GPX.2.selenocysteine	ENSP05520066741	Well annotated
GPX.4.selenocysteine	ENSP05520073161	Well annotated
GPX.4.selenocysteine	ENSP05520073164	Downstream
GPX.4.selenocysteine	ENSP05520073167	Well annotated
GPX.4.selenocysteine	ENSP05520073169	Skipped
GPX.4.selenocysteine	ENSP05520073173	Well annotated
MSRB.2.selenocysteine	ENSP05520006413	Well annotated
MSRB.2.selenocysteine	ENSP05520006414	Upstream
MSRB.2.selenocysteine	ENSP05520006415	Out of frame
