transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-OCT68396.1	Skipped
DIO.3.selenocysteine	cds-OCT68201.1	Skipped
DIO.4.selenocysteine	cds-OCT64954.1	Skipped
DIO.5.selenocysteine	cds-OCT65110.1	Skipped
DIO.8.selenocysteine	cds-OCT85036.1	Skipped
GPX.11.selenocysteine	cds-OCT68623.1	Downstream
GPX.13.selenocysteine	cds-OCT64820.1	Skipped
GPX.15.selenocysteine	cds-OCT97552.1	Downstream
GPX.2.selenocysteine	cds-OCT83219.1	Downstream
GPX.22.selenocysteine	cds-OCU00473.1	Skipped
GPX.26.selenocysteine	cds-OCT86340.1	Downstream
GPX.29.selenocysteine	cds-OCT88288.1	Downstream
GPX.5.selenocysteine	cds-OCT85631.1	Downstream
MSRB.1.selenocysteine	cds-OCT64431.1	Stop codon
SELENOF.1.selenocysteine	cds-OCT85200.1	Skipped
SELENOF.4.selenocysteine	cds-OCT82885.1	Skipped
SELENOI.10.selenocysteine	cds-OCT79182.1	Stop codon
SELENOI.3.selenocysteine	cds-OCT81543.1	Stop codon
SELENOK.3.selenocysteine	cds-OCT58061.1	Stop codon
SELENOM.2.selenocysteine	cds-OCU01597.1	Skipped
SELENOM.4.selenocysteine	cds-OCT98110.1	Skipped
SELENON.1.selenocysteine	cds-OCT73818.1	Stop codon
SELENON.1.selenocysteine	cds-OCT73819.1	Skipped
SELENON.2.selenocysteine	cds-OCT75434.1	Skipped
SELENOO.5.selenocysteine	cds-OCT89072.1	Stop codon
SELENOP.2.selenocysteine	cds-OCU02562.1	Skipped
SELENOS.4.selenocysteine	cds-OCT86763.1	Stop codon
SELENOS.9.selenocysteine	cds-OCT89804.1	Stop codon
SELENOT.3.selenocysteine	cds-OCT78712.1	Downstream
SELENOT.3.selenocysteine	cds-OCT78713.1	Skipped
SELENOT.8.selenocysteine	cds-OCT80896.1	Downstream
SELENOT.8.selenocysteine	cds-OCT80897.1	Skipped
SELENOW.2.selenocysteine	cds-OCT89633.1	Downstream
SEPHS2.4.selenocysteine	cds-OCT57963.1	Downstream
TXNRD.20.selenocysteine	cds-OCT88770.1	Stop codon
TXNRD.3.selenocysteine	cds-OCT87592.1	Stop codon
TXNRD.31.selenocysteine	cds-OCT83347.1	Stop codon
TXNRD.34.selenocysteine	cds-OCT85805.1	Stop codon
TXNRD.44.selenocysteine	cds-OCT98318.1	Stop codon
