transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSFWYP00000024886	Downstream
DIO.3.selenocysteine	ENSFWYP00000017264	Out of frame
DIO.5.selenocysteine	ENSFWYP00000015180	Stop codon
DIO.5.selenocysteine	ENSFWYP00000015181	Upstream
DIO.5.selenocysteine	ENSFWYP00000015187	Skipped
DIO.5.selenocysteine	ENSFWYP00000015188	Skipped
GPX.10.selenocysteine	ENSFWYP00000004556	Skipped
GPX.2.selenocysteine	ENSFWYP00000020424	Downstream
GPX.2.selenocysteine	ENSFWYP00000020426	Downstream
GPX.7.selenocysteine	ENSFWYP00000013281	Downstream
GPX.9.selenocysteine	ENSFWYP00000020781	Skipped
MSRB.3.selenocysteine	ENSFWYP00000020978	Stop codon
SELENOF.3.selenocysteine	ENSFWYP00000013964	Skipped
SELENOH.2.selenocysteine	ENSFWYP00000027749	Skipped
SELENOI.5.selenocysteine	ENSFWYP00000008461	Stop codon
SELENOI.5.selenocysteine	ENSFWYP00000008463	Stop codon
SELENOK.4.selenocysteine	ENSFWYP00000016055	Stop codon
SELENOM.2.selenocysteine	ENSFWYP00000003292	Skipped
SELENON.11.selenocysteine	ENSFWYP00000029097	Skipped
SELENOO.4.selenocysteine	ENSFWYP00000026072	Stop codon
SELENOS.3.selenocysteine	ENSFWYP00000008088	Stop codon
SELENOS.3.selenocysteine	ENSFWYP00000008100	Stop codon
SELENOS.3.selenocysteine	ENSFWYP00000008104	Stop codon
SELENOT.2.selenocysteine	ENSFWYP00000014607	Downstream
SELENOW.2.selenocysteine	ENSFWYP00000029994	Skipped
SEPHS2.1.selenocysteine	ENSFWYP00000013775	Downstream
TXNRD.12.selenocysteine	ENSFWYP00000001780	Stop codon
TXNRD.22.selenocysteine	ENSFWYP00000001234	Stop codon
TXNRD.22.selenocysteine	ENSFWYP00000001236	Stop codon
TXNRD.37.selenocysteine	ENSFWYP00000019217	Stop codon
TXNRD.37.selenocysteine	ENSFWYP00000019225	Stop codon
