transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSTUP00000001478	Stop codon
DIO.1.selenocysteine	ENSSTUP00000001487	Downstream
DIO.10.selenocysteine	ENSSTUP00000015370	Stop codon
DIO.10.selenocysteine	ENSSTUP00000015393	Downstream
DIO.2.selenocysteine	ENSSTUP00000047780	Stop codon
DIO.2.selenocysteine	ENSSTUP00000047791	Downstream
DIO.4.selenocysteine	ENSSTUP00000068522	Skipped
DIO.5.selenocysteine	ENSSTUP00000086566	Downstream
DIO.5.selenocysteine	ENSSTUP00000086577	Stop codon
DIO.7.selenocysteine	ENSSTUP00000053648	Skipped
GPX.10.selenocysteine	ENSSTUP00000064885	Skipped
GPX.10.selenocysteine	ENSSTUP00000064909	Skipped
GPX.10.selenocysteine	ENSSTUP00000064931	Skipped
GPX.13.selenocysteine	ENSSTUP00000096185	Downstream
GPX.16.selenocysteine	ENSSTUP00000023887	Well annotated
GPX.17.selenocysteine	ENSSTUP00000024950	Well annotated
GPX.20.selenocysteine	ENSSTUP00000034327	Downstream
GPX.20.selenocysteine	ENSSTUP00000034359	Stop codon
GPX.25.selenocysteine	ENSSTUP00000053925	Downstream
GPX.25.selenocysteine	ENSSTUP00000053942	Downstream
GPX.25.selenocysteine	ENSSTUP00000054000	Skipped
GPX.29.selenocysteine	ENSSTUP00000000491	Skipped
GPX.29.selenocysteine	ENSSTUP00000000501	Downstream
GPX.29.selenocysteine	ENSSTUP00000000504	Skipped
GPX.29.selenocysteine	ENSSTUP00000000509	Downstream
GPX.3.selenocysteine	ENSSTUP00000042545	Downstream
GPX.4.selenocysteine	ENSSTUP00000072271	Downstream
GPX.8.selenocysteine	ENSSTUP00000042203	Downstream
MSRB.12.selenocysteine	ENSSTUP00000002228	Stop codon
MSRB.4.selenocysteine	ENSSTUP00000084294	Stop codon
MSRB.7.selenocysteine	ENSSTUP00000010365	Skipped
MSRB.7.selenocysteine	ENSSTUP00000010386	Upstream
SELENOF.1.selenocysteine	ENSSTUP00000059786	Well annotated
SELENOF.4.selenocysteine	ENSSTUP00000085711	Well annotated
SELENOH.1.selenocysteine	ENSSTUP00000038455	Downstream
SELENOH.5.selenocysteine	ENSSTUP00000068565	Skipped
SELENOJ.8.selenocysteine	ENSSTUP00000003920	Stop codon
SELENOJ.8.selenocysteine	ENSSTUP00000003926	Stop codon
SELENOK.2.selenocysteine	ENSSTUP00000071838	Upstream
SELENOK.2.selenocysteine	ENSSTUP00000071871	Upstream
SELENOL.5.selenocysteine	ENSSTUP00000013608	Stop codon
SELENOL.5.selenocysteine	ENSSTUP00000013641	Downstream
SELENOM.3.selenocysteine	ENSSTUP00000046549	Downstream
SELENON.5.selenocysteine	ENSSTUP00000036072	Skipped
SELENON.5.selenocysteine	ENSSTUP00000036261	Skipped
SELENON.5.selenocysteine	ENSSTUP00000036304	Skipped
SELENON.5.selenocysteine	ENSSTUP00000036359	Skipped
SELENON.5.selenocysteine	ENSSTUP00000036402	Skipped
SELENON.5.selenocysteine	ENSSTUP00000036423	Skipped
SELENOO.1.selenocysteine	ENSSTUP00000020671	Stop codon
SELENOO.10.selenocysteine	ENSSTUP00000097227	Stop codon
SELENOO.10.selenocysteine	ENSSTUP00000097264	Stop codon
SELENOO.10.selenocysteine	ENSSTUP00000097268	Stop codon
SELENOP.3.selenocysteine	ENSSTUP00000038406	Skipped
SELENOP.7.selenocysteine	ENSSTUP00000096669	Downstream
SELENOS.10.selenocysteine	ENSSTUP00000057958	Stop codon
SELENOS.10.selenocysteine	ENSSTUP00000057974	Stop codon
SELENOS.4.selenocysteine	ENSSTUP00000104716	Stop codon
SELENOT.3.selenocysteine	ENSSTUP00000066332	Skipped
SELENOT.4.selenocysteine	ENSSTUP00000099555	Skipped
SELENOT.4.selenocysteine	ENSSTUP00000099562	Skipped
SELENOT.7.selenocysteine	ENSSTUP00000060095	Upstream
SELENOT.7.selenocysteine	ENSSTUP00000060109	Downstream
SELENOU.13.selenocysteine	ENSSTUP00000009584	Downstream
SELENOU.15.selenocysteine	ENSSTUP00000053384	Downstream
SELENOU.15.selenocysteine	ENSSTUP00000053413	Skipped
SELENOU.20.selenocysteine	ENSSTUP00000066799	Stop codon
SELENOU.20.selenocysteine	ENSSTUP00000066825	Downstream
SELENOU.4.selenocysteine	ENSSTUP00000002241	Stop codon
SELENOU.8.selenocysteine	ENSSTUP00000002231	Downstream
SELENOW.2.selenocysteine	ENSSTUP00000026691	Skipped
SELENOW.5.selenocysteine	ENSSTUP00000000909	Skipped
SELENOW.7.selenocysteine	ENSSTUP00000026923	Downstream
SELENOW.8.selenocysteine	ENSSTUP00000073292	Downstream
SEPHS2.13.selenocysteine	ENSSTUP00000014418	Skipped
TXNRD.10.selenocysteine	ENSSTUP00000098144	Well annotated
TXNRD.10.selenocysteine	ENSSTUP00000098208	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098217	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098225	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098254	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098294	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098352	Stop codon
TXNRD.10.selenocysteine	ENSSTUP00000098398	Skipped
TXNRD.10.selenocysteine	ENSSTUP00000098467	Skipped
TXNRD.10.selenocysteine	ENSSTUP00000098480	Skipped
TXNRD.21.selenocysteine	ENSSTUP00000110434	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110438	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110461	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110465	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110480	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110507	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110516	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110533	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110543	Stop codon
TXNRD.21.selenocysteine	ENSSTUP00000110590	Skipped
TXNRD.27.selenocysteine	ENSSTUP00000063907	Stop codon
TXNRD.27.selenocysteine	ENSSTUP00000064035	Stop codon
TXNRD.27.selenocysteine	ENSSTUP00000064051	Stop codon
TXNRD.27.selenocysteine	ENSSTUP00000064092	Stop codon
TXNRD.27.selenocysteine	ENSSTUP00000064099	Stop codon
TXNRD.27.selenocysteine	ENSSTUP00000064107	Stop codon
