transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSVLOP00000031739	Downstream
DIO.1.selenocysteine	ENSVLOP00000034735	Stop codon
DIO.2.selenocysteine	ENSVLOP00000035494	Downstream
GPX.15.selenocysteine	ENSVLOP00000042970	Downstream
GPX.15.selenocysteine	ENSVLOP00000042976	Stop codon
GPX.16.selenocysteine	ENSVLOP00000042783	Downstream
GPX.16.selenocysteine	ENSVLOP00000042823	Downstream
GPX.16.selenocysteine	ENSVLOP00000042839	Stop codon
GPX.17.selenocysteine	ENSVLOP00000031997	Downstream
GPX.17.selenocysteine	ENSVLOP00000032093	Upstream
GPX.17.selenocysteine	ENSVLOP00000032129	Upstream
GPX.2.selenocysteine	ENSVLOP00000024622	Downstream
GPX.3.selenocysteine	ENSVLOP00000022902	Downstream
GPX.3.selenocysteine	ENSVLOP00000022936	Skipped
GPX.6.selenocysteine	ENSVLOP00000023416	Downstream
MSRB.1.selenocysteine	ENSVLOP00000022757	Stop codon
SELENOE.2.selenocysteine	ENSVLOP00000028482	Downstream
SELENOI.3.selenocysteine	ENSVLOP00000001486	Skipped
SELENOI.3.selenocysteine	ENSVLOP00000001490	Stop codon
SELENOI.3.selenocysteine	ENSVLOP00000001493	Stop codon
SELENOM.2.selenocysteine	ENSVLOP00000019885	Downstream
SELENON.5.selenocysteine	ENSVLOP00000029248	Skipped
SELENON.5.selenocysteine	ENSVLOP00000029266	Skipped
SELENOO.3.selenocysteine	ENSVLOP00000008822	Upstream
SELENOO.3.selenocysteine	ENSVLOP00000008827	Upstream
SELENOO.3.selenocysteine	ENSVLOP00000008830	Stop codon
SELENOP.2.selenocysteine	ENSVLOP00000041880	Downstream
SELENOS.1.selenocysteine	ENSVLOP00000027814	Stop codon
SELENOT.4.selenocysteine	ENSVLOP00000030174	Downstream
SELENOT.4.selenocysteine	ENSVLOP00000030190	Downstream
SELENOU.4.selenocysteine	ENSVLOP00000007290	Stop codon
SELENOU.4.selenocysteine	ENSVLOP00000007295	Downstream
SEPHS2.1.selenocysteine	ENSVLOP00000010168	Downstream
SEPHS2.1.selenocysteine	ENSVLOP00000010174	Skipped
SEPHS2.1.selenocysteine	ENSVLOP00000010176	Skipped
TXNRD.18.selenocysteine	ENSVLOP00000044838	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044843	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044847	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044849	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044852	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044854	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044856	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044859	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044861	Upstream
TXNRD.18.selenocysteine	ENSVLOP00000044863	Upstream
TXNRD.20.selenocysteine	ENSVLOP00000025861	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026009	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026057	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026094	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026122	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026178	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026266	Stop codon
TXNRD.20.selenocysteine	ENSVLOP00000026358	Stop codon
