transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSCAFP00050054556	Stop codon
DIO.5.selenocysteine	ENSCAFP00050005170	Well annotated
GPX.10.selenocysteine	ENSCAFP00050023620	Downstream
GPX.28.selenocysteine	ENSCAFP00050023813	Stop codon
GPX.4.selenocysteine	ENSCAFP00050042567	Skipped
GPX.5.selenocysteine	ENSCAFP00050012923	Downstream
GPX.7.selenocysteine	ENSCAFP00050018295	Downstream
MSRB.1.selenocysteine	ENSCAFP00050029266	Stop codon
SELENOF.3.selenocysteine	ENSCAFP00050004932	Skipped
SELENOI.3.selenocysteine	ENSCAFP00050024900	Stop codon
SELENOI.3.selenocysteine	ENSCAFP00050046847	Stop codon
SELENOK.1.selenocysteine	ENSCAFP00050057927	Stop codon
SELENOK.3.selenocysteine	ENSCAFP00050042799	Stop codon
SELENOM.1.selenocysteine	ENSCAFP00050040879	Skipped
SELENOM.1.selenocysteine	ENSCAFP00050051057	Skipped
SELENON.1.selenocysteine	ENSCAFP00050000901	Skipped
SELENON.1.selenocysteine	ENSCAFP00050048578	Downstream
SELENOO.4.selenocysteine	ENSCAFP00050015733	Upstream
SELENOO.4.selenocysteine	ENSCAFP00050053839	Stop codon
SELENOS.2.selenocysteine	ENSCAFP00050004421	Stop codon
SELENOT.2.selenocysteine	ENSCAFP00050036013	Skipped
SELENOT.2.selenocysteine	ENSCAFP00050051877	Skipped
SELENOW.2.selenocysteine	ENSCAFP00050002038	Skipped
SELENOW.2.selenocysteine	ENSCAFP00050002052	Skipped
SELENOW.3.selenocysteine	ENSCAFP00050046650	Skipped
SEPHS2.1.selenocysteine	ENSCAFP00050055849	Downstream
TXNRD.14.selenocysteine	ENSCAFP00050017228	Upstream
TXNRD.14.selenocysteine	ENSCAFP00050017297	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00050017354	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00050017413	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00050017458	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00050024359	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00050024453	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00050047877	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00050050388	Stop codon
