transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSTTIP00000026361	Stop codon
DIO.1.selenocysteine	ENSTTIP00000026364	Downstream
DIO.2.selenocysteine	ENSTTIP00000042252	Stop codon
DIO.2.selenocysteine	ENSTTIP00000042253	Downstream
DIO.3.selenocysteine	ENSTTIP00000008385	Stop codon
DIO.3.selenocysteine	ENSTTIP00000008389	Downstream
DIO.5.selenocysteine	ENSTTIP00000015906	Stop codon
DIO.5.selenocysteine	ENSTTIP00000015912	Downstream
GPX.10.selenocysteine	ENSTTIP00000043635	Skipped
GPX.10.selenocysteine	ENSTTIP00000043643	Skipped
GPX.10.selenocysteine	ENSTTIP00000043682	Downstream
GPX.18.selenocysteine	ENSTTIP00000003387	Skipped
GPX.2.selenocysteine	ENSTTIP00000036032	Skipped
GPX.20.selenocysteine	ENSTTIP00000010534	Skipped
GPX.22.selenocysteine	ENSTTIP00000028317	Downstream
GPX.22.selenocysteine	ENSTTIP00000028318	Downstream
GPX.4.selenocysteine	ENSTTIP00000027235	Skipped
GPX.4.selenocysteine	ENSTTIP00000027237	Downstream
GPX.4.selenocysteine	ENSTTIP00000027239	Downstream
GPX.5.selenocysteine	ENSTTIP00000060403	Downstream
MSRB.1.selenocysteine	ENSTTIP00000048589	Stop codon
MSRB.10.selenocysteine	ENSTTIP00000029446	Stop codon
SELENOF.1.selenocysteine	ENSTTIP00000019214	Well annotated
SELENOH.1.selenocysteine	ENSTTIP00000034031	Skipped
SELENOI.4.selenocysteine	ENSTTIP00000055878	Stop codon
SELENOJ.1.selenocysteine	ENSTTIP00000039912	Skipped
SELENOK.2.selenocysteine	ENSTTIP00000030479	Stop codon
SELENOL.3.selenocysteine	ENSTTIP00000059275	Downstream
SELENON.5.selenocysteine	ENSTTIP00000023229	Skipped
SELENOO.1.selenocysteine	ENSTTIP00000007280	Stop codon
SELENOP.1.selenocysteine	ENSTTIP00000046763	Downstream
SELENOT.6.selenocysteine	ENSTTIP00000048330	Well annotated
SELENOT.6.selenocysteine	ENSTTIP00000048332	Downstream
SELENOU.11.selenocysteine	ENSTTIP00000003586	Stop codon
SELENOU.11.selenocysteine	ENSTTIP00000003592	Downstream
SELENOU.12.selenocysteine	ENSTTIP00000003610	Downstream
SELENOU.12.selenocysteine	ENSTTIP00000003614	Downstream
SELENOU.5.selenocysteine	ENSTTIP00000024952	Skipped
SELENOW.1.selenocysteine	ENSTTIP00000052749	Downstream
SELENOW.3.selenocysteine	ENSTTIP00000052746	Skipped
SELENOW.4.selenocysteine	ENSTTIP00000027479	Skipped
TXNRD.10.selenocysteine	ENSTTIP00000003882	Upstream
TXNRD.10.selenocysteine	ENSTTIP00000003954	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000003966	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000003974	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000004010	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000004034	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000004054	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000004066	Stop codon
TXNRD.10.selenocysteine	ENSTTIP00000004068	Skipped
TXNRD.13.selenocysteine	ENSTTIP00000022557	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022568	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022610	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022620	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022670	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022680	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022730	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022792	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022835	Stop codon
TXNRD.13.selenocysteine	ENSTTIP00000022882	Stop codon
