transcript_id	transcript_id_ens	Type_annotation
AhpC.6.selenocysteine	cds-CAL6435688.1	Downstream
AhpC.6.selenocysteine	cds-CAL6435691.1	Stop codon
EhSEP2.1.selenocysteine	cds-CAL6339594.1	Downstream
FrnE.1.selenocysteine	cds-CAL6427363.1	Downstream
FrnE.2.selenocysteine	cds-CAL6423386.1	Downstream
GPX.1.selenocysteine	cds-CAL6410737.1	Skipped
GPX.2.selenocysteine	cds-CAL6277814.1	Skipped
GPX.3.selenocysteine	cds-CAL6434656.1	Skipped
MSP.1.selenocysteine	cds-CAL6339814.1	Downstream
MsrA.3.selenocysteine	cds-CAL6275732.1	Out of frame
MsrA.3.selenocysteine	cds-CAL6275749.1	Downstream
MsrA.4.selenocysteine	cds-CAL6420787.1	Downstream
Ostsp1.1.selenocysteine	cds-CAL6406617.1	Stop codon
Ostsp3.2.selenocysteine	cds-CAL6352060.1	Stop codon
SELENOF.1.selenocysteine	cds-CAL6283037.1	Downstream
SELENOM.1.selenocysteine	cds-CAL6305307.1	Skipped
SELENOT.5.selenocysteine	cds-CAL6419699.1	Skipped
SELENOU.1.selenocysteine	cds-CAL6319569.1	Stop codon
SELENOU.1.selenocysteine	cds-CAL6319595.1	Downstream
SELENOU.4.selenocysteine	cds-CAL6276439.1	Skipped
SELENOW.1.selenocysteine	cds-CAL6275030.1	Downstream
SELENOW.6.selenocysteine	cds-CAL6321279.1	Downstream
TXNRD.1.selenocysteine	cds-CAL6346396.1	Stop codon
