transcript_id	transcript_id_ens	Type_annotation
AhpC.13.selenocysteine	BRAKERVUBP00000004151	Downstream
AhpC.13.selenocysteine	BRAKERVUBP00000004651	Downstream
AhpC.20.selenocysteine	BRAKERVUBP00000004610	Downstream
AhpC.5.selenocysteine	BRAKERVUBP00000004151	Downstream
GPX.2.selenocysteine	BRAKERVUBP00000005842	Skipped
GPX.5.selenocysteine	BRAKERVUBP00000005842	Downstream
MSRB.2.selenocysteine	BRAKERVUBP00000002355	Stop codon
MsrA.2.selenocysteine	BRAKERVUBP00000015749	Out of frame
SELENOF.1.selenocysteine	BRAKERVUBP00000006586	Out of frame
SELENOH.1.selenocysteine	BRAKERVUBP00000001402	Downstream
SELENOJ.1.selenocysteine	BRAKERVUBP00000000024	Stop codon
SELENOJ.1.selenocysteine	BRAKERVUBP00000000114	Downstream
SELENOL.1.selenocysteine	BRAKERVUBP00000011093	Downstream
SELENOL.1.selenocysteine	BRAKERVUBP00000011362	Stop codon
SELENOL.2.selenocysteine	BRAKERVUBP00000011228	Skipped
SELENOL.3.selenocysteine	BRAKERVUBP00000011210	Downstream
SELENOL.3.selenocysteine	BRAKERVUBP00000011413	Stop codon
SELENOL.4.selenocysteine	BRAKERVUBP00000011339	Stop codon
SELENOL.4.selenocysteine	BRAKERVUBP00000011454	Downstream
SELENOL.5.selenocysteine	BRAKERVUBP00000011234	Out of frame
SELENON.1.selenocysteine	BRAKERVUBP00000008718	Downstream
SELENON.1.selenocysteine	BRAKERVUBP00000008935	Stop codon
SELENON.2.selenocysteine	BRAKERVUBP00000008487	Downstream
SELENON.2.selenocysteine	BRAKERVUBP00000009017	Stop codon
SELENON.8.selenocysteine	BRAKERVUBP00000008607	Stop codon
SELENON.8.selenocysteine	BRAKERVUBP00000008880	Downstream
SELENOT.1.selenocysteine	BRAKERVUBP00000009366	Downstream
SELENOU.1.selenocysteine	BRAKERVUBP00000002764	Downstream
SEPHS2.6.selenocysteine	BRAKERVUBP00000004218	Downstream
TXNRD.19.selenocysteine	BRAKERVUBP00000001454	Stop codon
TXNRD.19.selenocysteine	BRAKERVUBP00000001524	Upstream
