transcript_id	transcript_id_ens	Type_annotation
AhpC.10.selenocysteine	ENSOUGP00010014216	Downstream
GPX.3.selenocysteine	ENSOUGP00010006018	Downstream
GPX.3.selenocysteine	ENSOUGP00010007901	Stop codon
MsrA.4.selenocysteine	ENSOUGP00010050515	Downstream
MsrA.4.selenocysteine	ENSOUGP00010050522	Downstream
MsrA.5.selenocysteine	ENSOUGP00010049927	Downstream
SELENOF.1.selenocysteine	ENSOUGP00010005484	Upstream
SELENOF.1.selenocysteine	ENSOUGP00010005487	Upstream
SELENOJ.3.selenocysteine	ENSOUGP00010012177	Skipped
SELENOJ.3.selenocysteine	ENSOUGP00010012186	Stop codon
SELENOK.1.selenocysteine	ENSOUGP00010014190	Stop codon
SELENON.1.selenocysteine	ENSOUGP00010046404	Stop codon
SELENON.1.selenocysteine	ENSOUGP00010046417	Skipped
SELENOO.5.selenocysteine	ENSOUGP00010012786	Stop codon
SELENOT.1.selenocysteine	ENSOUGP00010035066	Skipped
SELENOT.1.selenocysteine	ENSOUGP00010035074	Skipped
SELENOU.10.selenocysteine	ENSOUGP00010033554	Skipped
SELENOU.15.selenocysteine	ENSOUGP00010014255	Downstream
SELENOU.15.selenocysteine	ENSOUGP00010014268	Downstream
TXNRD.8.selenocysteine	ENSOUGP00010022583	Stop codon
TXNRD.8.selenocysteine	ENSOUGP00010022598	Stop codon
TXNRD.8.selenocysteine	ENSOUGP00010022611	Stop codon
