transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAF6287273.1	Downstream
DIO.1.selenocysteine	cds-KAF6287274.1	Stop codon
DIO.3.selenocysteine	cds-KAF6392439.1	Stop codon
SELENOM.1.selenocysteine	cds-KAF6312192.1	Downstream
SELENOM.1.selenocysteine	cds-KAF6312193.1	Skipped
SELENON.13.selenocysteine	cds-KAF6382697.1	Downstream
SELENOP.1.selenocysteine	cds-KAF6366409.1	Downstream
TXNRD.12.selenocysteine	cds-KAF6373519.1	Stop codon
TXNRD.12.selenocysteine	cds-KAF6373520.1	Stop codon
TXNRD.12.selenocysteine	cds-KAF6373521.1	Stop codon
