transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-CAL9849330.1	Stop codon
DIO.3.selenocysteine	cds-CAL9849068.1	Downstream
DIO.3.selenocysteine	cds-CAL9849071.1	Stop codon
DIO.5.selenocysteine	cds-CAL9831477.1	Skipped
GPX.10.selenocysteine	cds-CAL9870476.1	Skipped
GPX.14.selenocysteine	cds-CAL9836676.1	Downstream
GPX.20.selenocysteine	cds-CAL9860362.1	Upstream
GPX.20.selenocysteine	cds-CAL9860363.1	Downstream
GPX.21.selenocysteine	cds-CAL9847165.1	Downstream
GPX.3.selenocysteine	cds-CAL9853118.1	Skipped
GPX.4.selenocysteine	cds-CAL9853115.1	Stop codon
MSRB.1.selenocysteine	cds-CAL9865876.1	Stop codon
SELENOF.3.selenocysteine	cds-CAL9836706.1	Stop codon
SELENOI.3.selenocysteine	cds-CAL9862583.1	Stop codon
SELENOK.3.selenocysteine	cds-CAL9857426.1	Stop codon
SELENOL.3.selenocysteine	cds-CAL9868437.1	Out of frame
SELENON.7.selenocysteine	cds-CAL9827312.1	Downstream
SELENON.7.selenocysteine	cds-CAL9827315.1	Stop codon
SELENOO.5.selenocysteine	cds-CAL9851170.1	Stop codon
SELENOP.1.selenocysteine	cds-CAL9841311.1	Stop codon
SELENOP.1.selenocysteine	cds-CAL9841313.1	Downstream
SELENOP.5.selenocysteine	cds-CAL9847122.1	Stop codon
SELENOT.2.selenocysteine	cds-CAL9863399.1	Downstream
SELENOU.5.selenocysteine	cds-CAL9870426.1	Skipped
SEPHS2.5.selenocysteine	cds-CAL9853388.1	Downstream
SEPHS2.5.selenocysteine	cds-CAL9853389.1	Stop codon
