transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01890020801	Downstream
DIO.1.selenocysteine	ENSP01890020802	Well annotated
DIO.3.selenocysteine	ENSP01890038689	Well annotated
DIO.3.selenocysteine	ENSP01890038691	Well annotated
DIO.3.selenocysteine	ENSP01890038696	Upstream
DIO.3.selenocysteine	ENSP01890038697	Out of frame
DIO.3.selenocysteine	ENSP01890038700	Upstream
DIO.3.selenocysteine	ENSP01890038701	Upstream
DIO.3.selenocysteine	ENSP01890038702	Upstream
DIO.4.selenocysteine	ENSP01890095142	Well annotated
DIO.4.selenocysteine	ENSP01890095144	Well annotated
DIO.4.selenocysteine	ENSP01890095146	Well annotated
DIO.4.selenocysteine	ENSP01890095148	Out of frame
DIO.4.selenocysteine	ENSP01890095149	Out of frame
DIO.4.selenocysteine	ENSP01890095151	Upstream
DIO.4.selenocysteine	ENSP01890095152	Out of frame
DIO.4.selenocysteine	ENSP01890095154	Skipped
DIO.4.selenocysteine	ENSP01890095156	Downstream
DIO.4.selenocysteine	ENSP01890095157	Well annotated
DIO.4.selenocysteine	ENSP01890095158	Upstream
DIO.4.selenocysteine	ENSP01890095160	Upstream
GPX.12.selenocysteine	ENSP01890081457	Well annotated
GPX.12.selenocysteine	ENSP01890081458	Well annotated
GPX.12.selenocysteine	ENSP01890081460	Upstream
GPX.12.selenocysteine	ENSP01890081462	Upstream
GPX.12.selenocysteine	ENSP01890081464	Out of frame
GPX.20.selenocysteine	ENSP01890014849	Well annotated
GPX.20.selenocysteine	ENSP01890014851	Well annotated
GPX.25.selenocysteine	ENSP01890007372	Well annotated
GPX.25.selenocysteine	ENSP01890007375	Well annotated
GPX.25.selenocysteine	ENSP01890007377	Well annotated
GPX.25.selenocysteine	ENSP01890007380	Well annotated
GPX.25.selenocysteine	ENSP01890007381	Well annotated
GPX.25.selenocysteine	ENSP01890007382	Well annotated
GPX.25.selenocysteine	ENSP01890007383	Well annotated
GPX.25.selenocysteine	ENSP01890007386	Downstream
GPX.25.selenocysteine	ENSP01890007388	Well annotated
GPX.25.selenocysteine	ENSP01890007390	Well annotated
GPX.25.selenocysteine	ENSP01890007391	Well annotated
GPX.25.selenocysteine	ENSP01890007392	Downstream
GPX.3.selenocysteine	ENSP01890103188	Well annotated
GPX.3.selenocysteine	ENSP01890103189	Well annotated
GPX.3.selenocysteine	ENSP01890103190	Skipped
GPX.3.selenocysteine	ENSP01890103191	Well annotated
GPX.3.selenocysteine	ENSP01890103192	Well annotated
GPX.3.selenocysteine	ENSP01890103193	Well annotated
GPX.3.selenocysteine	ENSP01890103194	Skipped
GPX.3.selenocysteine	ENSP01890103195	Well annotated
GPX.3.selenocysteine	ENSP01890103196	Well annotated
GPX.3.selenocysteine	ENSP01890103197	Well annotated
GPX.3.selenocysteine	ENSP01890103198	Well annotated
GPX.3.selenocysteine	ENSP01890103199	Upstream
GPX.3.selenocysteine	ENSP01890103200	Well annotated
GPX.3.selenocysteine	ENSP01890103201	Well annotated
GPX.5.selenocysteine	ENSP01890039804	Well annotated
GPX.5.selenocysteine	ENSP01890039806	Well annotated
GPX.5.selenocysteine	ENSP01890039809	Skipped
GPX.5.selenocysteine	ENSP01890039811	Well annotated
MSRB.2.selenocysteine	ENSP01890068534	Well annotated
MSRB.2.selenocysteine	ENSP01890068536	Upstream
MSRB.2.selenocysteine	ENSP01890068538	Out of frame
MSRB.2.selenocysteine	ENSP01890068540	Out of frame
SELENOF.3.selenocysteine	ENSP01890077681	Well annotated
SELENOF.3.selenocysteine	ENSP01890077682	Well annotated
SELENOF.3.selenocysteine	ENSP01890077683	Well annotated
SELENOF.3.selenocysteine	ENSP01890077684	Out of frame
SELENOF.3.selenocysteine	ENSP01890077685	Out of frame
SELENOH.2.selenocysteine	ENSP01890057571	Well annotated
SELENOH.2.selenocysteine	ENSP01890057573	Well annotated
SELENOH.2.selenocysteine	ENSP01890057574	Out of frame
SELENOI.3.selenocysteine	ENSP01890015740	Upstream
