transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04230089093	Downstream
DIO.1.selenocysteine	ENSP04230089094	Well annotated
DIO.3.selenocysteine	ENSP04230047420	Well annotated
DIO.3.selenocysteine	ENSP04230047423	Well annotated
DIO.3.selenocysteine	ENSP04230047426	Upstream
DIO.3.selenocysteine	ENSP04230047429	Out of frame
DIO.3.selenocysteine	ENSP04230047432	Upstream
DIO.3.selenocysteine	ENSP04230047434	Upstream
DIO.3.selenocysteine	ENSP04230047435	Upstream
DIO.4.selenocysteine	ENSP04230055795	Well annotated
DIO.4.selenocysteine	ENSP04230055796	Well annotated
DIO.4.selenocysteine	ENSP04230055797	Well annotated
DIO.4.selenocysteine	ENSP04230055798	Out of frame
DIO.4.selenocysteine	ENSP04230055799	Out of frame
DIO.4.selenocysteine	ENSP04230055800	Upstream
DIO.4.selenocysteine	ENSP04230055801	Out of frame
DIO.4.selenocysteine	ENSP04230055802	Skipped
DIO.4.selenocysteine	ENSP04230055803	Downstream
DIO.4.selenocysteine	ENSP04230055804	Well annotated
DIO.4.selenocysteine	ENSP04230055805	Upstream
DIO.4.selenocysteine	ENSP04230055806	Upstream
GPX.10.selenocysteine	ENSP04230006121	Well annotated
GPX.10.selenocysteine	ENSP04230006123	Well annotated
GPX.10.selenocysteine	ENSP04230006126	Well annotated
GPX.10.selenocysteine	ENSP04230006128	Well annotated
GPX.10.selenocysteine	ENSP04230006129	Well annotated
GPX.10.selenocysteine	ENSP04230006130	Well annotated
GPX.10.selenocysteine	ENSP04230006132	Well annotated
GPX.10.selenocysteine	ENSP04230006134	Downstream
GPX.10.selenocysteine	ENSP04230006136	Well annotated
GPX.10.selenocysteine	ENSP04230006139	Well annotated
GPX.10.selenocysteine	ENSP04230006141	Well annotated
GPX.10.selenocysteine	ENSP04230006145	Downstream
GPX.12.selenocysteine	ENSP04230087134	Well annotated
GPX.12.selenocysteine	ENSP04230087135	Well annotated
GPX.12.selenocysteine	ENSP04230087136	Upstream
GPX.12.selenocysteine	ENSP04230087137	Upstream
GPX.12.selenocysteine	ENSP04230087138	Out of frame
GPX.2.selenocysteine	ENSP04230057257	Well annotated
GPX.2.selenocysteine	ENSP04230057258	Well annotated
GPX.2.selenocysteine	ENSP04230057259	Skipped
GPX.2.selenocysteine	ENSP04230057260	Well annotated
GPX.2.selenocysteine	ENSP04230057261	Well annotated
GPX.2.selenocysteine	ENSP04230057262	Well annotated
GPX.2.selenocysteine	ENSP04230057264	Skipped
GPX.2.selenocysteine	ENSP04230057265	Well annotated
GPX.2.selenocysteine	ENSP04230057266	Well annotated
GPX.2.selenocysteine	ENSP04230057267	Well annotated
GPX.2.selenocysteine	ENSP04230057268	Well annotated
GPX.2.selenocysteine	ENSP04230057269	Upstream
GPX.2.selenocysteine	ENSP04230057270	Well annotated
GPX.2.selenocysteine	ENSP04230057271	Well annotated
GPX.20.selenocysteine	ENSP04230000077	Well annotated
GPX.20.selenocysteine	ENSP04230000078	Well annotated
GPX.4.selenocysteine	ENSP04230017168	Well annotated
GPX.4.selenocysteine	ENSP04230017169	Well annotated
GPX.4.selenocysteine	ENSP04230017170	Skipped
GPX.4.selenocysteine	ENSP04230017171	Well annotated
MSRB.2.selenocysteine	ENSP04230069391	Well annotated
MSRB.2.selenocysteine	ENSP04230069392	Upstream
MSRB.2.selenocysteine	ENSP04230069393	Out of frame
MSRB.2.selenocysteine	ENSP04230069394	Out of frame
SELENOF.3.selenocysteine	ENSP04230049653	Well annotated
SELENOF.3.selenocysteine	ENSP04230049654	Well annotated
SELENOF.3.selenocysteine	ENSP04230049655	Well annotated
SELENOF.3.selenocysteine	ENSP04230049656	Out of frame
SELENOF.3.selenocysteine	ENSP04230049657	Out of frame
SELENOH.2.selenocysteine	ENSP04230048909	Well annotated
SELENOH.2.selenocysteine	ENSP04230048910	Well annotated
SELENOH.2.selenocysteine	ENSP04230048911	Out of frame
SELENOI.3.selenocysteine	ENSP04230100320	Upstream
SELENOI.3.selenocysteine	ENSP04230100321	Well annotated
SELENOI.3.selenocysteine	ENSP04230100322	Upstream
SELENOK.7.selenocysteine	ENSP04230044726	Well annotated
SELENOK.7.selenocysteine	ENSP04230044727	Out of frame
SELENOM.2.selenocysteine	ENSP04230039881	Well annotated
SELENOM.2.selenocysteine	ENSP04230039882	Well annotated
SELENON.4.selenocysteine	ENSP04230058923	Well annotated
SELENON.4.selenocysteine	ENSP04230058924	Well annotated
SELENON.4.selenocysteine	ENSP04230058925	Well annotated
SELENON.4.selenocysteine	ENSP04230058927	Well annotated
SELENOO.7.selenocysteine	ENSP04230008098	Well annotated
SELENOP.3.selenocysteine	ENSP04230064433	Well annotated
SELENOP.3.selenocysteine	ENSP04230064436	Well annotated
SELENOP.3.selenocysteine	ENSP04230064438	Well annotated
SELENOP.3.selenocysteine	ENSP04230064440	Well annotated
SELENOP.3.selenocysteine	ENSP04230064441	Well annotated
SELENOP.3.selenocysteine	ENSP04230064443	Well annotated
SELENOS.2.selenocysteine	ENSP04230035894	Well annotated
SELENOS.2.selenocysteine	ENSP04230035895	Well annotated
SELENOS.2.selenocysteine	ENSP04230035896	Well annotated
SELENOS.2.selenocysteine	ENSP04230035897	Upstream
SELENOT.5.selenocysteine	ENSP04230095162	Downstream
SELENOT.5.selenocysteine	ENSP04230095163	Downstream
SELENOT.5.selenocysteine	ENSP04230095164	Well annotated
SELENOT.5.selenocysteine	ENSP04230095165	Upstream
SELENOT.5.selenocysteine	ENSP04230095166	Downstream
SELENOW.3.selenocysteine	ENSP04230090485	Well annotated
SELENOW.4.selenocysteine	ENSP04230102381	Well annotated
SELENOW.4.selenocysteine	ENSP04230102382	Well annotated
SELENOW.4.selenocysteine	ENSP04230102383	Well annotated
SELENOW.4.selenocysteine	ENSP04230102384	Well annotated
SEPHS2.1.selenocysteine	ENSP04230078029	Well annotated
TXNRD.10.selenocysteine	ENSP04230106794	Well annotated
TXNRD.10.selenocysteine	ENSP04230106795	Upstream
TXNRD.10.selenocysteine	ENSP04230106796	Upstream
TXNRD.10.selenocysteine	ENSP04230106797	Well annotated
TXNRD.10.selenocysteine	ENSP04230106798	Upstream
TXNRD.10.selenocysteine	ENSP04230106799	Upstream
TXNRD.10.selenocysteine	ENSP04230106805	Well annotated
TXNRD.10.selenocysteine	ENSP04230106806	Upstream
