transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00860000249	Downstream
DIO.1.selenocysteine	ENSP00860000250	Well annotated
DIO.3.selenocysteine	ENSP00860054756	Well annotated
DIO.3.selenocysteine	ENSP00860054762	Well annotated
DIO.3.selenocysteine	ENSP00860054771	Upstream
DIO.3.selenocysteine	ENSP00860054776	Out of frame
DIO.3.selenocysteine	ENSP00860054781	Upstream
DIO.3.selenocysteine	ENSP00860054783	Upstream
DIO.3.selenocysteine	ENSP00860054784	Upstream
DIO.4.selenocysteine	ENSP00860082847	Well annotated
DIO.4.selenocysteine	ENSP00860082848	Well annotated
DIO.4.selenocysteine	ENSP00860082850	Well annotated
DIO.4.selenocysteine	ENSP00860082851	Out of frame
DIO.4.selenocysteine	ENSP00860082853	Out of frame
DIO.4.selenocysteine	ENSP00860082854	Upstream
DIO.4.selenocysteine	ENSP00860082856	Out of frame
DIO.4.selenocysteine	ENSP00860082858	Skipped
DIO.4.selenocysteine	ENSP00860082859	Downstream
DIO.4.selenocysteine	ENSP00860082861	Well annotated
DIO.4.selenocysteine	ENSP00860082863	Upstream
DIO.4.selenocysteine	ENSP00860082865	Upstream
GPX.12.selenocysteine	ENSP00860089999	Well annotated
GPX.12.selenocysteine	ENSP00860090000	Well annotated
GPX.12.selenocysteine	ENSP00860090001	Upstream
GPX.12.selenocysteine	ENSP00860090002	Upstream
GPX.12.selenocysteine	ENSP00860090003	Out of frame
GPX.20.selenocysteine	ENSP00860000062	Well annotated
GPX.20.selenocysteine	ENSP00860000063	Well annotated
GPX.3.selenocysteine	ENSP00860103517	Well annotated
GPX.3.selenocysteine	ENSP00860103527	Well annotated
GPX.3.selenocysteine	ENSP00860103528	Skipped
GPX.3.selenocysteine	ENSP00860103529	Well annotated
GPX.3.selenocysteine	ENSP00860103530	Well annotated
GPX.3.selenocysteine	ENSP00860103531	Well annotated
GPX.3.selenocysteine	ENSP00860103532	Skipped
GPX.3.selenocysteine	ENSP00860103534	Well annotated
GPX.3.selenocysteine	ENSP00860103535	Well annotated
GPX.3.selenocysteine	ENSP00860103536	Well annotated
GPX.3.selenocysteine	ENSP00860103537	Well annotated
GPX.3.selenocysteine	ENSP00860103538	Upstream
GPX.3.selenocysteine	ENSP00860103539	Well annotated
GPX.3.selenocysteine	ENSP00860103541	Well annotated
GPX.5.selenocysteine	ENSP00860068651	Well annotated
GPX.5.selenocysteine	ENSP00860068653	Well annotated
GPX.5.selenocysteine	ENSP00860068655	Skipped
GPX.5.selenocysteine	ENSP00860068657	Well annotated
MSRB.3.selenocysteine	ENSP00860029487	Well annotated
MSRB.3.selenocysteine	ENSP00860029490	Upstream
MSRB.3.selenocysteine	ENSP00860029495	Out of frame
MSRB.3.selenocysteine	ENSP00860029501	Out of frame
SELENOF.3.selenocysteine	ENSP00860049594	Well annotated
SELENOF.3.selenocysteine	ENSP00860049595	Well annotated
SELENOF.3.selenocysteine	ENSP00860049598	Well annotated
SELENOF.3.selenocysteine	ENSP00860049600	Out of frame
SELENOF.3.selenocysteine	ENSP00860049602	Out of frame
SELENOH.2.selenocysteine	ENSP00860039671	Well annotated
SELENOH.2.selenocysteine	ENSP00860039676	Well annotated
