transcript_id	transcript_id_ens	Type_annotation
GPX.13.selenocysteine	ENSCAIP00005014522	Skipped
GPX.17.selenocysteine	ENSCAIP00005032300	Downstream
GPX.17.selenocysteine	ENSCAIP00005032301	Downstream
GPX.3.selenocysteine	ENSCAIP00005014329	Skipped
GPX.3.selenocysteine	ENSCAIP00005014330	Downstream
GPX.4.selenocysteine	ENSCAIP00005035959	Downstream
GPX.6.selenocysteine	ENSCAIP00005035010	Skipped
GPX.6.selenocysteine	ENSCAIP00005035012	Skipped
GPX.7.selenocysteine	ENSCAIP00005023239	Downstream
GPX.7.selenocysteine	ENSCAIP00005023240	Downstream
GPX.9.selenocysteine	ENSCAIP00005028514	Downstream
MSRB.2.selenocysteine	ENSCAIP00005006502	Stop codon
MSRB.7.selenocysteine	ENSCAIP00005034344	Stop codon
SELENOF.3.selenocysteine	ENSCAIP00005023151	Upstream
SELENOF.3.selenocysteine	ENSCAIP00005023152	Stop codon
SELENOF.3.selenocysteine	ENSCAIP00005023153	Upstream
SELENOH.1.selenocysteine	ENSCAIP00005022060	Downstream
SELENOI.6.selenocysteine	ENSCAIP00005017013	Skipped
SELENOI.6.selenocysteine	ENSCAIP00005017014	Stop codon
SELENOJ.3.selenocysteine	ENSCAIP00005018323	Skipped
SELENOJ.8.selenocysteine	ENSCAIP00005045141	Skipped
SELENOM.3.selenocysteine	ENSCAIP00005011458	Downstream
SELENON.9.selenocysteine	ENSCAIP00005005437	Skipped
SELENOO.10.selenocysteine	ENSCAIP00005015134	Upstream
SELENOO.3.selenocysteine	ENSCAIP00005031149	Stop codon
SELENOS.2.selenocysteine	ENSCAIP00005009649	Stop codon
SELENOT.2.selenocysteine	ENSCAIP00005006609	Out of frame
SELENOT.7.selenocysteine	ENSCAIP00005008636	Downstream
SELENOT.7.selenocysteine	ENSCAIP00005035215	Downstream
SEPHS2.7.selenocysteine	ENSCAIP00005001791	Downstream
SEPHS2.7.selenocysteine	ENSCAIP00005001797	Skipped
SEPHS2.7.selenocysteine	ENSCAIP00005001802	Skipped
TXNRD.11.selenocysteine	ENSCAIP00005009439	Upstream
TXNRD.11.selenocysteine	ENSCAIP00005009510	Skipped
TXNRD.11.selenocysteine	ENSCAIP00005009511	Skipped
TXNRD.11.selenocysteine	ENSCAIP00005009512	Skipped
TXNRD.11.selenocysteine	ENSCAIP00005010249	Stop codon
TXNRD.11.selenocysteine	ENSCAIP00005010294	Stop codon
TXNRD.11.selenocysteine	ENSCAIP00005010307	Stop codon
TXNRD.11.selenocysteine	ENSCAIP00005010364	Stop codon
TXNRD.11.selenocysteine	ENSCAIP00005010371	Stop codon
TXNRD.11.selenocysteine	ENSCAIP00005010372	Stop codon
TXNRD.2.selenocysteine	ENSCAIP00005000523	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000528	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000656	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000669	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000673	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000685	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000724	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000754	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000769	Upstream
TXNRD.2.selenocysteine	ENSCAIP00005000772	Stop codon
