transcript_id	transcript_id_ens	Type_annotation
GPX.11.selenocysteine	cds-KAL3209217.1	Skipped
GPX.11.selenocysteine	cds-KAL3209218.1	Skipped
GPX.2.selenocysteine	cds-KAL3244659.1	Out of frame
GPX.5.selenocysteine	cds-KAL3205205.1	Downstream
GPX.5.selenocysteine	cds-KAL3205206.1	Skipped
MSRB.5.selenocysteine	cds-KAL3178732.1	Upstream
MSRB.5.selenocysteine	cds-KAL3178735.1	Stop codon
MSRB.5.selenocysteine	cds-KAL3178736.1	Stop codon
MSRB.8.selenocysteine	cds-KAL3194872.1	Upstream
MsrA.2.selenocysteine	cds-KAL3198865.1	Downstream
MsrA.2.selenocysteine	cds-KAL3198866.1	Out of frame
SELENOM.1.selenocysteine	cds-KAL3244914.1	Skipped
SELENON.3.selenocysteine	cds-KAL3216522.1	Out of frame
SELENON.3.selenocysteine	cds-KAL3216523.1	Out of frame
SELENOP.2.selenocysteine	cds-KAL3215209.1	Stop codon
SELENOP.2.selenocysteine	cds-KAL3215210.1	Downstream
SELENOS.3.selenocysteine	cds-KAL3225970.1	Stop codon
SELENOT.1.selenocysteine	cds-KAL3190202.1	Downstream
SELENOW.1.selenocysteine	cds-KAL3242196.1	Downstream
SELENOW.3.selenocysteine	cds-KAL3242200.1	Downstream
SEPHS2.14.selenocysteine	cds-KAL3243401.1	Downstream
SEPHS2.16.selenocysteine	cds-KAL3172917.1	Downstream
