transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAI5162495.1	Skipped
DIO.3.selenocysteine	cds-KAI5232330.1	Skipped
DIO.4.selenocysteine	cds-KAI5139236.1	Skipped
GPX.10.selenocysteine	cds-KAI5259622.1	Stop codon
GPX.10.selenocysteine	cds-KAI5259636.1	Downstream
GPX.14.selenocysteine	cds-KAI5136513.1	Skipped
GPX.2.selenocysteine	cds-KAI5174189.1	Downstream
GPX.22.selenocysteine	cds-KAI5201437.1	Skipped
GPX.4.selenocysteine	cds-KAI5232126.1	Downstream
MSRB.1.selenocysteine	cds-KAI5228832.1	Stop codon
SELENOF.3.selenocysteine	cds-KAI5243819.1	Skipped
SELENOH.2.selenocysteine	cds-KAI5238719.1	Skipped
SELENOI.8.selenocysteine	cds-KAI5125177.1	Stop codon
SELENOK.1.selenocysteine	cds-KAI5174300.1	Stop codon
SELENOM.2.selenocysteine	cds-KAI5133322.1	Skipped
SELENON.2.selenocysteine	cds-KAI5139193.1	Stop codon
SELENON.2.selenocysteine	cds-KAI5139692.1	Downstream
SELENOO.5.selenocysteine	cds-KAI5137809.1	Stop codon
SELENOS.5.selenocysteine	cds-KAI5237387.1	Stop codon
SELENOT.2.selenocysteine	cds-KAI5132100.1	Downstream
SELENOT.2.selenocysteine	cds-KAI5132101.1	Stop codon
SELENOW.2.selenocysteine	cds-KAI5257049.1	Downstream
TXNRD.13.selenocysteine	cds-KAI5182142.1	Stop codon
TXNRD.3.selenocysteine	cds-KAI5213218.1	Stop codon
TXNRD.32.selenocysteine	cds-KAI5133190.1	Stop codon
