transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSJQJP00000009480	Stop codon
DIO.1.selenocysteine	ENSJQJP00000009481	Downstream
DIO.2.selenocysteine	ENSJQJP00000014610	Skipped
DIO.5.selenocysteine	ENSJQJP00000049239	Upstream
DIO.5.selenocysteine	ENSJQJP00000049240	Stop codon
DIO.5.selenocysteine	ENSJQJP00000049241	Upstream
DIO.5.selenocysteine	ENSJQJP00000049242	Downstream
GPX.14.selenocysteine	ENSJQJP00000057331	Skipped
GPX.14.selenocysteine	ENSJQJP00000057334	Skipped
GPX.14.selenocysteine	ENSJQJP00000057336	Downstream
GPX.16.selenocysteine	ENSJQJP00000056117	Downstream
GPX.22.selenocysteine	ENSJQJP00000063822	Skipped
GPX.22.selenocysteine	ENSJQJP00000063823	Downstream
GPX.3.selenocysteine	ENSJQJP00000012329	Downstream
GPX.4.selenocysteine	ENSJQJP00000048600	Skipped
GPX.4.selenocysteine	ENSJQJP00000048603	Downstream
GPX.6.selenocysteine	ENSJQJP00000013375	Skipped
MSRB.1.selenocysteine	ENSJQJP00000035078	Stop codon
MSRB.3.selenocysteine	ENSJQJP00000018019	Stop codon
MSRB.4.selenocysteine	ENSJQJP00000021148	Stop codon
SELENOE.5.selenocysteine	ENSJQJP00000055793	Downstream
SELENOF.3.selenocysteine	ENSJQJP00000050300	Skipped
SELENOI.3.selenocysteine	ENSJQJP00000009404	Stop codon
SELENOI.3.selenocysteine	ENSJQJP00000009406	Stop codon
SELENOI.3.selenocysteine	ENSJQJP00000009407	Stop codon
SELENOI.3.selenocysteine	ENSJQJP00000009409	Stop codon
SELENOJ.12.selenocysteine	ENSJQJP00000047788	Stop codon
SELENOJ.12.selenocysteine	ENSJQJP00000047789	Stop codon
SELENOJ.12.selenocysteine	ENSJQJP00000047790	Stop codon
SELENOJ.12.selenocysteine	ENSJQJP00000047813	Skipped
SELENOJ.5.selenocysteine	ENSJQJP00000004587	Skipped
SELENOK.1.selenocysteine	ENSJQJP00000012227	Upstream
SELENOM.3.selenocysteine	ENSJQJP00000053051	Downstream
SELENOM.3.selenocysteine	ENSJQJP00000053053	Out of frame
SELENOM.3.selenocysteine	ENSJQJP00000053054	Skipped
SELENON.12.selenocysteine	ENSJQJP00000032752	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032788	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032793	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032800	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032808	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032850	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032852	Out of frame
SELENON.12.selenocysteine	ENSJQJP00000032853	Out of frame
SELENON.8.selenocysteine	ENSJQJP00000046817	Skipped
SELENON.8.selenocysteine	ENSJQJP00000046818	Skipped
SELENOO.22.selenocysteine	ENSJQJP00000001314	Upstream
SELENOO.22.selenocysteine	ENSJQJP00000001315	Stop codon
SELENOO.6.selenocysteine	ENSJQJP00000065376	Upstream
SELENOO.6.selenocysteine	ENSJQJP00000065380	Stop codon
SELENOO.6.selenocysteine	ENSJQJP00000065382	Stop codon
SELENOO.6.selenocysteine	ENSJQJP00000065383	Stop codon
SELENOO.6.selenocysteine	ENSJQJP00000065385	Stop codon
SELENOS.2.selenocysteine	ENSJQJP00000012466	Stop codon
SELENOT.1.selenocysteine	ENSJQJP00000012613	Downstream
SELENOT.1.selenocysteine	ENSJQJP00000019440	Upstream
SELENOT.7.selenocysteine	ENSJQJP00000029120	Downstream
SELENOU.10.selenocysteine	ENSJQJP00000020588	Skipped
SELENOU.4.selenocysteine	ENSJQJP00000006254	Downstream
SELENOU.4.selenocysteine	ENSJQJP00000006255	Downstream
SELENOU.6.selenocysteine	ENSJQJP00000064017	Downstream
SELENOU.6.selenocysteine	ENSJQJP00000064020	Out of frame
SELENOU.6.selenocysteine	ENSJQJP00000064023	Downstream
SEPHS2.10.selenocysteine	ENSJQJP00000009701	Downstream
SEPHS2.10.selenocysteine	ENSJQJP00000009712	Downstream
TXNRD.18.selenocysteine	ENSJQJP00000004008	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004173	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004177	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004180	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004322	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004374	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004388	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004415	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004429	Upstream
TXNRD.18.selenocysteine	ENSJQJP00000004465	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029170	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029219	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029243	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029277	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029304	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029305	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029307	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029333	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029339	Stop codon
TXNRD.22.selenocysteine	ENSJQJP00000029343	Stop codon
TXNRD.8.selenocysteine	ENSJQJP00000007719	Stop codon
