transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSDJXP00000035892	Skipped
DIO.1.selenocysteine	ENSDJXP00000035898	Downstream
DIO.1.selenocysteine	ENSDJXP00000035900	Downstream
DIO.10.selenocysteine	ENSDJXP00000041694	Skipped
DIO.3.selenocysteine	ENSDJXP00000034404	Downstream
DIO.3.selenocysteine	ENSDJXP00000034410	Skipped
DIO.4.selenocysteine	ENSDJXP00000035597	Skipped
DIO.4.selenocysteine	ENSDJXP00000035602	Downstream
DIO.7.selenocysteine	ENSDJXP00000013486	Skipped
GPX.1.selenocysteine	ENSDJXP00000038828	Skipped
GPX.1.selenocysteine	ENSDJXP00000038836	Skipped
GPX.2.selenocysteine	ENSDJXP00000047893	Skipped
GPX.5.selenocysteine	ENSDJXP00000023471	Skipped
GPX.8.selenocysteine	ENSDJXP00000056087	Downstream
GPX.8.selenocysteine	ENSDJXP00000056092	Skipped
MSRB.4.selenocysteine	ENSDJXP00000052742	Stop codon
MsrA.2.selenocysteine	ENSDJXP00000008004	Downstream
MsrA.2.selenocysteine	ENSDJXP00000008008	Downstream
MsrA.4.selenocysteine	ENSDJXP00000056552	Downstream
MsrA.4.selenocysteine	ENSDJXP00000056554	Downstream
SELENOF.1.selenocysteine	ENSDJXP00000042855	Stop codon
SELENOF.1.selenocysteine	ENSDJXP00000042861	Upstream
SELENOL.2.selenocysteine	ENSDJXP00000047106	Skipped
SELENON.4.selenocysteine	ENSDJXP00000034223	Skipped
SELENON.4.selenocysteine	ENSDJXP00000034232	Stop codon
SELENON.4.selenocysteine	ENSDJXP00000034241	Stop codon
SELENOP.1.selenocysteine	ENSDJXP00000055110	Downstream
SELENOT.1.selenocysteine	ENSDJXP00000015480	Downstream
SELENOT.1.selenocysteine	ENSDJXP00000015498	Out of frame
SELENOU.3.selenocysteine	ENSDJXP00000054824	Downstream
SELENOU.3.selenocysteine	ENSDJXP00000054828	Downstream
SELENOU.3.selenocysteine	ENSDJXP00000054841	Downstream
SELENOU.5.selenocysteine	ENSDJXP00000025568	Skipped
SEPHS2.4.selenocysteine	ENSDJXP00000024576	Downstream
TXNRD.8.selenocysteine	ENSDJXP00000004188	Stop codon
TXNRD.8.selenocysteine	ENSDJXP00000004197	Stop codon
TXNRD.8.selenocysteine	ENSDJXP00000004205	Stop codon
