transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSHGLP00000038473	Well annotated
DIO.3.selenocysteine	ENSHGLP00000019113	Skipped
GPX.10.selenocysteine	ENSHGLP00000022774	Skipped
GPX.10.selenocysteine	ENSHGLP00000038530	Well annotated
GPX.22.selenocysteine	ENSHGLP00000041720	Well annotated
GPX.22.selenocysteine	ENSHGLP00000056766	Skipped
GPX.22.selenocysteine	ENSHGLP00000060752	Skipped
GPX.4.selenocysteine	ENSHGLP00000020015	Downstream
GPX.5.selenocysteine	ENSHGLP00000032398	Skipped
GPX.5.selenocysteine	ENSHGLP00000033086	Well annotated
GPX.5.selenocysteine	ENSHGLP00000036143	Skipped
SELENOF.3.selenocysteine	ENSHGLP00000030200	Skipped
SELENOF.3.selenocysteine	ENSHGLP00000056037	Skipped
SELENOH.2.selenocysteine	ENSHGLP00000009582	Skipped
SELENOI.3.selenocysteine	ENSHGLP00000016096	Well annotated
SELENOK.3.selenocysteine	ENSHGLP00000028734	Well annotated
SELENOK.7.selenocysteine	ENSHGLP00000048477	Well annotated
SELENON.12.selenocysteine	ENSHGLP00000015327	Skipped
SELENOO.1.selenocysteine	ENSHGLP00000026665	Out of frame
SELENOP.3.selenocysteine	ENSHGLP00000003910	Skipped
SELENOS.3.selenocysteine	ENSHGLP00000018740	Upstream
SELENOS.3.selenocysteine	ENSHGLP00000029109	Well annotated
SELENOT.3.selenocysteine	ENSHGLP00000000446	Skipped
SELENOW.2.selenocysteine	ENSHGLP00000047452	Downstream
SELENOW.2.selenocysteine	ENSHGLP00000051406	Downstream
SEPHS2.1.selenocysteine	ENSHGLP00000030991	Downstream
SEPHS2.1.selenocysteine	ENSHGLP00000056115	Stop codon
TXNRD.14.selenocysteine	ENSHGLP00000008866	Skipped
TXNRD.14.selenocysteine	ENSHGLP00000008867	Well annotated
TXNRD.14.selenocysteine	ENSHGLP00000045534	Upstream
TXNRD.14.selenocysteine	ENSHGLP00000055681	Skipped
