transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_065260193.1	Well annotated
DIO.3.selenocysteine	cds-XP_065260167.1	Well annotated
DIO.6.selenocysteine	cds-XP_065265808.1	Well annotated
GPX.13.selenocysteine	cds-XP_065278057.1	Well annotated
GPX.2.selenocysteine	cds-XP_065264846.1	Well annotated
GPX.4.selenocysteine	cds-XP_065259836.1	Well annotated
GPX.6.selenocysteine	cds-XP_065265489.1	Well annotated
MSRB.1.selenocysteine	cds-XP_065268694.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_065265446.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_065259351.1	Well annotated
SELENOI.1.selenocysteine	cds-XP_065257448.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_065263865.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_065263867.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_065274085.1	Well annotated
SELENON.8.selenocysteine	cds-XP_065277878.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_065263437.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_065266203.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_065268212.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_065266781.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_065264591.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_065253512.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_065273580.1	Out of frame
TXNRD.32.selenocysteine	cds-XP_065273581.1	Stop codon
