transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02950069855	Downstream
DIO.1.selenocysteine	ENSP02950069858	Well annotated
DIO.3.selenocysteine	ENSP02950038983	Well annotated
DIO.3.selenocysteine	ENSP02950038985	Well annotated
DIO.3.selenocysteine	ENSP02950038987	Upstream
DIO.3.selenocysteine	ENSP02950038988	Out of frame
DIO.3.selenocysteine	ENSP02950038990	Upstream
DIO.3.selenocysteine	ENSP02950038991	Upstream
DIO.3.selenocysteine	ENSP02950038992	Upstream
DIO.4.selenocysteine	ENSP02950093731	Well annotated
DIO.4.selenocysteine	ENSP02950093732	Well annotated
DIO.4.selenocysteine	ENSP02950093733	Well annotated
DIO.4.selenocysteine	ENSP02950093734	Out of frame
DIO.4.selenocysteine	ENSP02950093735	Out of frame
DIO.4.selenocysteine	ENSP02950093736	Upstream
DIO.4.selenocysteine	ENSP02950093737	Out of frame
DIO.4.selenocysteine	ENSP02950093738	Skipped
DIO.4.selenocysteine	ENSP02950093739	Downstream
DIO.4.selenocysteine	ENSP02950093740	Well annotated
DIO.4.selenocysteine	ENSP02950093741	Upstream
DIO.4.selenocysteine	ENSP02950093742	Upstream
GPX.11.selenocysteine	ENSP02950002685	Well annotated
GPX.11.selenocysteine	ENSP02950002686	Well annotated
GPX.11.selenocysteine	ENSP02950002687	Well annotated
GPX.11.selenocysteine	ENSP02950002688	Well annotated
GPX.11.selenocysteine	ENSP02950002689	Well annotated
GPX.11.selenocysteine	ENSP02950002690	Well annotated
GPX.11.selenocysteine	ENSP02950002691	Well annotated
GPX.11.selenocysteine	ENSP02950002692	Downstream
GPX.11.selenocysteine	ENSP02950002693	Well annotated
GPX.11.selenocysteine	ENSP02950002694	Well annotated
GPX.11.selenocysteine	ENSP02950002695	Well annotated
GPX.11.selenocysteine	ENSP02950002696	Downstream
GPX.16.selenocysteine	ENSP02950095628	Well annotated
GPX.16.selenocysteine	ENSP02950095629	Well annotated
GPX.16.selenocysteine	ENSP02950095630	Upstream
GPX.16.selenocysteine	ENSP02950095631	Upstream
GPX.16.selenocysteine	ENSP02950095632	Out of frame
GPX.18.selenocysteine	ENSP02950028672	Well annotated
GPX.18.selenocysteine	ENSP02950028673	Well annotated
GPX.3.selenocysteine	ENSP02950055807	Well annotated
GPX.3.selenocysteine	ENSP02950055808	Well annotated
GPX.3.selenocysteine	ENSP02950055809	Skipped
GPX.3.selenocysteine	ENSP02950055810	Well annotated
GPX.3.selenocysteine	ENSP02950055811	Well annotated
GPX.3.selenocysteine	ENSP02950055812	Well annotated
GPX.3.selenocysteine	ENSP02950055813	Skipped
GPX.3.selenocysteine	ENSP02950055814	Well annotated
GPX.3.selenocysteine	ENSP02950055815	Well annotated
GPX.3.selenocysteine	ENSP02950055816	Well annotated
GPX.3.selenocysteine	ENSP02950055817	Well annotated
GPX.3.selenocysteine	ENSP02950055818	Upstream
GPX.3.selenocysteine	ENSP02950055819	Well annotated
GPX.3.selenocysteine	ENSP02950055820	Well annotated
GPX.5.selenocysteine	ENSP02950027860	Well annotated
GPX.5.selenocysteine	ENSP02950027861	Well annotated
GPX.5.selenocysteine	ENSP02950027862	Skipped
GPX.5.selenocysteine	ENSP02950027863	Well annotated
MSRB.2.selenocysteine	ENSP02950032995	Well annotated
MSRB.2.selenocysteine	ENSP02950032996	Upstream
MSRB.2.selenocysteine	ENSP02950032997	Out of frame
MSRB.2.selenocysteine	ENSP02950032998	Out of frame
SELENOF.3.selenocysteine	ENSP02950021392	Well annotated
SELENOF.3.selenocysteine	ENSP02950021393	Well annotated
SELENOF.3.selenocysteine	ENSP02950021394	Well annotated
SELENOF.3.selenocysteine	ENSP02950021395	Out of frame
SELENOF.3.selenocysteine	ENSP02950021396	Out of frame
SELENOH.2.selenocysteine	ENSP02950038811	Well annotated
SELENOH.2.selenocysteine	ENSP02950038812	Well annotated
SELENOH.2.selenocysteine	ENSP02950038813	Out of frame
SELENOI.3.selenocysteine	ENSP02950110084	Upstream
SELENOI.3.selenocysteine	ENSP02950110085	Well annotated
SELENOI.3.selenocysteine	ENSP02950110086	Upstream
SELENOK.7.selenocysteine	ENSP02950097025	Well annotated
SELENOK.7.selenocysteine	ENSP02950097026	Out of frame
SELENOM.2.selenocysteine	ENSP02950043587	Well annotated
SELENOM.2.selenocysteine	ENSP02950043590	Well annotated
SELENON.4.selenocysteine	ENSP02950073777	Well annotated
SELENON.4.selenocysteine	ENSP02950073779	Well annotated
SELENON.4.selenocysteine	ENSP02950073781	Well annotated
SELENON.4.selenocysteine	ENSP02950073782	Well annotated
SELENOO.7.selenocysteine	ENSP02950003022	Well annotated
SELENOP.3.selenocysteine	ENSP02950079030	Well annotated
SELENOP.3.selenocysteine	ENSP02950079031	Well annotated
SELENOP.3.selenocysteine	ENSP02950079032	Well annotated
SELENOP.3.selenocysteine	ENSP02950079033	Well annotated
SELENOP.3.selenocysteine	ENSP02950079034	Well annotated
SELENOP.3.selenocysteine	ENSP02950079035	Well annotated
SELENOS.2.selenocysteine	ENSP02950040942	Well annotated
SELENOS.2.selenocysteine	ENSP02950040943	Well annotated
SELENOS.2.selenocysteine	ENSP02950040945	Well annotated
SELENOS.2.selenocysteine	ENSP02950040946	Upstream
SELENOT.5.selenocysteine	ENSP02950073128	Downstream
SELENOT.5.selenocysteine	ENSP02950073129	Downstream
SELENOT.5.selenocysteine	ENSP02950073130	Well annotated
SELENOT.5.selenocysteine	ENSP02950073131	Upstream
SELENOT.5.selenocysteine	ENSP02950073132	Downstream
SELENOW.3.selenocysteine	ENSP02950006802	Well annotated
SELENOW.4.selenocysteine	ENSP02950012231	Well annotated
SELENOW.4.selenocysteine	ENSP02950012232	Well annotated
SELENOW.4.selenocysteine	ENSP02950012236	Well annotated
SELENOW.4.selenocysteine	ENSP02950012239	Well annotated
SEPHS2.1.selenocysteine	ENSP02950062220	Well annotated
TXNRD.10.selenocysteine	ENSP02950083937	Well annotated
TXNRD.10.selenocysteine	ENSP02950083939	Upstream
TXNRD.10.selenocysteine	ENSP02950083940	Well annotated
TXNRD.10.selenocysteine	ENSP02950083941	Well annotated
TXNRD.10.selenocysteine	ENSP02950083942	Upstream
TXNRD.10.selenocysteine	ENSP02950083943	Well annotated
TXNRD.10.selenocysteine	ENSP02950083944	Upstream
TXNRD.10.selenocysteine	ENSP02950083945	Well annotated
TXNRD.10.selenocysteine	ENSP02950083946	Upstream
TXNRD.10.selenocysteine	ENSP02950083948	Well annotated
TXNRD.10.selenocysteine	ENSP02950083950	Upstream
TXNRD.10.selenocysteine	ENSP02950083951	Upstream
TXNRD.10.selenocysteine	ENSP02950083953	Well annotated
TXNRD.10.selenocysteine	ENSP02950083955	Upstream
TXNRD.10.selenocysteine	ENSP02950083956	Upstream
TXNRD.13.selenocysteine	ENSP02950061924	Well annotated
TXNRD.13.selenocysteine	ENSP02950061926	Well annotated
TXNRD.34.selenocysteine	ENSP02950003744	Well annotated
TXNRD.34.selenocysteine	ENSP02950003745	Well annotated
TXNRD.34.selenocysteine	ENSP02950003746	Out of frame
TXNRD.34.selenocysteine	ENSP02950003747	Well annotated
TXNRD.34.selenocysteine	ENSP02950003748	Well annotated
TXNRD.34.selenocysteine	ENSP02950003749	Well annotated
TXNRD.34.selenocysteine	ENSP02950003750	Well annotated
TXNRD.34.selenocysteine	ENSP02950003751	Well annotated
TXNRD.34.selenocysteine	ENSP02950003752	Well annotated
TXNRD.34.selenocysteine	ENSP02950003753	Well annotated
TXNRD.34.selenocysteine	ENSP02950003754	Upstream
TXNRD.34.selenocysteine	ENSP02950003755	Upstream
