transcript_id	transcript_id_ens	Type_annotation
DIO.10.selenocysteine	ENSXVXP00005042845	Skipped
DIO.21.selenocysteine	ENSXVXP00005051834	Skipped
DIO.3.selenocysteine	ENSXVXP00005043992	Skipped
DIO.7.selenocysteine	ENSXVXP00005043843	Skipped
DIO.8.selenocysteine	ENSXVXP00005045409	Downstream
DIO.9.selenocysteine	ENSXVXP00005041856	Skipped
GPX.10.selenocysteine	ENSXVXP00005058944	Skipped
GPX.11.selenocysteine	ENSXVXP00005053659	Skipped
GPX.15.selenocysteine	ENSXVXP00005049005	Skipped
GPX.15.selenocysteine	ENSXVXP00005049010	Stop codon
GPX.3.selenocysteine	ENSXVXP00005027194	Skipped
GPX.4.selenocysteine	ENSXVXP00005026040	Downstream
GPX.6.selenocysteine	ENSXVXP00005003537	Skipped
GPX.7.selenocysteine	ENSXVXP00005043291	Downstream
GPX.7.selenocysteine	ENSXVXP00005043295	Downstream
MSRB.9.selenocysteine	ENSXVXP00005029577	Stop codon
MsrA.3.selenocysteine	ENSXVXP00005025413	Downstream
MsrA.3.selenocysteine	ENSXVXP00005025423	Skipped
SELENOF.1.selenocysteine	ENSXVXP00005045375	Skipped
SELENOF.1.selenocysteine	ENSXVXP00005045379	Skipped
SELENOH.1.selenocysteine	ENSXVXP00005004805	Downstream
SELENOL.3.selenocysteine	ENSXVXP00005035419	Skipped
SELENON.3.selenocysteine	ENSXVXP00005011061	Upstream
SELENON.3.selenocysteine	ENSXVXP00005011073	Stop codon
SELENON.3.selenocysteine	ENSXVXP00005011083	Skipped
SELENOO.1.selenocysteine	ENSXVXP00005063758	Upstream
SELENOO.1.selenocysteine	ENSXVXP00005063759	Stop codon
SELENOO.1.selenocysteine	ENSXVXP00005063760	Stop codon
SELENOO.1.selenocysteine	ENSXVXP00005063761	Upstream
SELENOO.10.selenocysteine	ENSXVXP00005046964	Upstream
SELENOO.10.selenocysteine	ENSXVXP00005046969	Upstream
SELENOO.10.selenocysteine	ENSXVXP00005047502	Stop codon
SELENOO.10.selenocysteine	ENSXVXP00005047510	Stop codon
SELENOO.10.selenocysteine	ENSXVXP00005047519	Stop codon
SELENOP.2.selenocysteine	ENSXVXP00005059620	Downstream
SELENOP.2.selenocysteine	ENSXVXP00005059626	Downstream
SELENOT.1.selenocysteine	ENSXVXP00005045461	Downstream
SELENOT.1.selenocysteine	ENSXVXP00005045480	Downstream
SELENOU.5.selenocysteine	ENSXVXP00005023550	Skipped
SELENOU.9.selenocysteine	ENSXVXP00005041547	Skipped
SELENOU.9.selenocysteine	ENSXVXP00005041557	Skipped
SEPHS2.1.selenocysteine	ENSXVXP00005063691	Downstream
SEPHS2.1.selenocysteine	ENSXVXP00005063692	Downstream
TXNRD.26.selenocysteine	ENSXVXP00005011619	Stop codon
TXNRD.5.selenocysteine	ENSXVXP00005053673	Stop codon
TXNRD.5.selenocysteine	ENSXVXP00005053682	Stop codon
TXNRD.5.selenocysteine	ENSXVXP00005053691	Stop codon
