transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXE63308.1	Downstream
DIO.3.selenocysteine	cds-CALORN_R14708	Well annotated
DIO.4.selenocysteine	cds-NXE62591.1	Stop codon
GPX.1.selenocysteine	cds-NXE69421.1	Downstream
GPX.3.selenocysteine	cds-NXE64440.1	Downstream
GPX.6.selenocysteine	cds-NXE66050.1	Skipped
GPX.7.selenocysteine	cds-NXE66905.1	Stop codon
SELENOF.3.selenocysteine	cds-NXE66471.1	Downstream
SELENOF.3.selenocysteine	cds-NXE66480.1	Upstream
SELENOH.1.selenocysteine	cds-NXE69922.1	Downstream
SELENOK.2.selenocysteine	cds-NXE64433.1	Stop codon
SELENOM.3.selenocysteine	cds-NXE69325.1	Downstream
SELENON.8.selenocysteine	cds-NXE71335.1	Skipped
SELENOO.8.selenocysteine	cds-CALORN_R13716	Stop codon
SELENOP.1.selenocysteine	cds-NXE63008.1	Downstream
SELENOP.4.selenocysteine	cds-NXE59857.1	Downstream
SELENOT.2.selenocysteine	cds-NXE68699.1	Downstream
SELENOU.6.selenocysteine	cds-NXE66310.1	Stop codon
SELENOU.6.selenocysteine	cds-NXE66311.1	Downstream
TXNRD.10.selenocysteine	cds-NXE62777.1	Stop codon
TXNRD.21.selenocysteine	cds-NXE66133.1	Upstream
TXNRD.34.selenocysteine	cds-NXE62366.1	Stop codon
