transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_057253062.1	Well annotated
DIO.3.selenocysteine	cds-XP_057284527.1	Well annotated
DIO.5.selenocysteine	cds-XP_057285996.1	Well annotated
GPX.12.selenocysteine	cds-XP_057263409.1	Well annotated
GPX.2.selenocysteine	cds-XP_057275379.1	Well annotated
GPX.4.selenocysteine	cds-XP_057265565.1	Well annotated
GPX.8.selenocysteine	cds-XP_057273709.1	Well annotated
MSRB.1.selenocysteine	cds-XP_057254121.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_057258728.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_057286927.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_057260637.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_057260638.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_057273620.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_057267351.1	Well annotated
SELENON.13.selenocysteine	cds-XP_057257183.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_057271753.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_057281885.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_057274033.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_057274035.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_057274036.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_057287025.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_057277681.1	Well annotated
SEPHS2.11.selenocysteine	cds-XP_057257175.1	Well annotated
TXNRD.21.selenocysteine	cds-XP_057276543.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_057276544.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_057276545.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_057276546.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_057276547.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_057270961.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_057273638.1	Stop codon
