transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_009947633.2	Well annotated
DIO.2.selenocysteine	cds-XP_009958229.2	Well annotated
DIO.5.selenocysteine	cds-XP_009953894.2	Well annotated
GPX.2.selenocysteine	cds-XP_086328159.1	Well annotated
GPX.3.selenocysteine	cds-XP_086326313.1	Well annotated
GPX.6.selenocysteine	cds-XP_086327099.1	Well annotated
GPX.9.selenocysteine	cds-XP_086333608.1	Well annotated
MSRB.1.selenocysteine	cds-XP_086329363.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_086318971.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_086328523.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_086317886.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_086326429.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_086326430.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_086330175.1	Well annotated
SELENON.12.selenocysteine	cds-XP_086335290.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_086318399.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_086319139.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_009959562.2	Well annotated
SELENOS.5.selenocysteine	cds-XP_086327711.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_086324346.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_009953237.2	Well annotated
SELENOU.7.selenocysteine	cds-XP_086322919.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_086322920.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_086335652.1	Well annotated
TXNRD.31.selenocysteine	cds-XP_086330598.1	Well annotated
TXNRD.9.selenocysteine	cds-XP_009959048.2	Well annotated
