transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_006220408.2	Stop codon
DIO.3.selenocysteine	cds-XP_031535158.1	Well annotated
DIO.5.selenocysteine	cds-XP_006200574.2	Well annotated
GPX.14.selenocysteine	cds-XP_006204498.2	Well annotated
GPX.24.selenocysteine	cds-XP_006215308.2	Well annotated
GPX.24.selenocysteine	cds-XP_015104242.1	Well annotated
GPX.29.selenocysteine	cds-XP_006206497.2	Well annotated
GPX.29.selenocysteine	cds-XP_072804228.1	Well annotated
GPX.5.selenocysteine	cds-XP_006220290.2	Well annotated
GPX.7.selenocysteine	cds-XP_031535003.1	Well annotated
MSRB.1.selenocysteine	cds-XP_006204328.2	Well annotated
MSRB.1.selenocysteine	cds-XP_072798509.1	Upstream
SELENOF.3.selenocysteine	cds-XP_015096152.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_015096153.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_006214132.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_006197244.3	Stop codon
SELENOI.3.selenocysteine	cds-XP_015097702.1	Upstream
SELENOI.3.selenocysteine	cds-XP_072794176.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_006196481.2	Well annotated
SELENOK.1.selenocysteine	cds-XP_072797609.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_006218103.2	Well annotated
SELENON.12.selenocysteine	cds-XP_072831176.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_072829871.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_031547753.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_006202864.3	Downstream
SELENOW.3.selenocysteine	cds-XP_031537830.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072822859.1	Downstream
SEPHS2.1.selenocysteine	cds-XP_031543289.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_031532212.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_072798117.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_072798118.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_072798119.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_072809314.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_072809315.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_072809316.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_072809317.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_072809318.1	Upstream
TXNRD.30.selenocysteine	cds-XP_072809319.1	Upstream
TXNRD.5.selenocysteine	cds-XP_015096128.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_031539037.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829186.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829187.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829188.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829189.1	Upstream
TXNRD.5.selenocysteine	cds-XP_072829190.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829191.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829192.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829193.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829194.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_072829195.1	Stop codon
