transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSLLEP00000042180	Downstream
DIO.3.selenocysteine	ENSLLEP00000044145	Skipped
DIO.4.selenocysteine	ENSLLEP00000048122	Downstream
GPX.11.selenocysteine	ENSLLEP00000013041	Stop codon
GPX.11.selenocysteine	ENSLLEP00000013174	Downstream
GPX.11.selenocysteine	ENSLLEP00000013199	Downstream
GPX.3.selenocysteine	ENSLLEP00000014977	Downstream
GPX.6.selenocysteine	ENSLLEP00000021126	Downstream
GPX.6.selenocysteine	ENSLLEP00000021257	Skipped
GPX.6.selenocysteine	ENSLLEP00000021299	Skipped
GPX.8.selenocysteine	ENSLLEP00000002402	Upstream
GPX.8.selenocysteine	ENSLLEP00000002452	Downstream
GPX.8.selenocysteine	ENSLLEP00000002460	Downstream
MSRB.1.selenocysteine	ENSLLEP00000034211	Upstream
SELENOF.1.selenocysteine	ENSLLEP00000047732	Stop codon
SELENOH.2.selenocysteine	ENSLLEP00000024359	Downstream
SELENOI.3.selenocysteine	ENSLLEP00000012769	Stop codon
SELENOK.1.selenocysteine	ENSLLEP00000044676	Upstream
SELENOM.2.selenocysteine	ENSLLEP00000027601	Downstream
SELENON.1.selenocysteine	ENSLLEP00000042821	Stop codon
SELENON.1.selenocysteine	ENSLLEP00000042848	Downstream
SELENOO.10.selenocysteine	ENSLLEP00000012135	Upstream
SELENOO.10.selenocysteine	ENSLLEP00000012257	Upstream
SELENOP.1.selenocysteine	ENSLLEP00000004550	Downstream
SELENOS.2.selenocysteine	ENSLLEP00000008655	Stop codon
SELENOS.2.selenocysteine	ENSLLEP00000008681	Stop codon
SELENOT.2.selenocysteine	ENSLLEP00000010364	Downstream
SELENOT.2.selenocysteine	ENSLLEP00000010407	Downstream
SELENOW.3.selenocysteine	ENSLLEP00000014195	Downstream
SEPHS2.5.selenocysteine	ENSLLEP00000025010	Skipped
SEPHS2.5.selenocysteine	ENSLLEP00000025137	Downstream
TXNRD.12.selenocysteine	ENSLLEP00000013429	Stop codon
TXNRD.12.selenocysteine	ENSLLEP00000013581	Stop codon
TXNRD.12.selenocysteine	ENSLLEP00000013705	Upstream
TXNRD.3.selenocysteine	ENSLLEP00000029645	Stop codon
TXNRD.3.selenocysteine	ENSLLEP00000029845	Upstream
TXNRD.3.selenocysteine	ENSLLEP00000030016	Upstream
TXNRD.34.selenocysteine	ENSLLEP00000009563	Stop codon
