transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_032764790.1	Well annotated
DIO.3.selenocysteine	cds-XP_032764117.1	Out of frame
DIO.5.selenocysteine	cds-XP_032745078.1	Well annotated
DIO.5.selenocysteine	cds-XP_032745082.1	Well annotated
GPX.1.selenocysteine	cds-XP_032766511.1	Well annotated
GPX.16.selenocysteine	cds-XP_032764263.1	Well annotated
GPX.16.selenocysteine	cds-XP_032764265.1	Well annotated
GPX.29.selenocysteine	cds-XP_032768480.1	Well annotated
GPX.6.selenocysteine	cds-XP_032763869.1	Well annotated
MSRB.1.selenocysteine	cds-XP_032769604.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_032753124.1	Well annotated
SELENOH.5.selenocysteine	cds-XP_032759486.1	Well annotated
SELENOH.5.selenocysteine	cds-XP_032759487.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_032764940.1	Well annotated
SELENOK.10.selenocysteine	cds-XP_032775087.1	Well annotated
SELENOK.10.selenocysteine	cds-XP_032775088.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_032772047.1	Well annotated
SELENON.10.selenocysteine	cds-XP_032752278.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_032775245.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_032754722.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_032754723.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_032749341.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_032754254.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_032750308.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_032748472.1	Well annotated
TXNRD.12.selenocysteine	cds-XP_032766508.1	Stop codon
TXNRD.12.selenocysteine	cds-XP_032766516.1	Stop codon
TXNRD.12.selenocysteine	cds-XP_032766524.1	Stop codon
TXNRD.23.selenocysteine	cds-XP_032762008.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_032755812.1	Stop codon
