transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSCUYP00005006045	Skipped
DIO.5.selenocysteine	ENSCUYP00005004664	Skipped
FrnE.1.selenocysteine	ENSCUYP00005023925	Downstream
GPX.12.selenocysteine	ENSCUYP00005001208	Downstream
GPX.12.selenocysteine	ENSCUYP00005001220	Downstream
GPX.12.selenocysteine	ENSCUYP00005001403	Skipped
GPX.13.selenocysteine	ENSCUYP00005000008	Skipped
GPX.13.selenocysteine	ENSCUYP00005000030	Downstream
GPX.22.selenocysteine	ENSCUYP00005003945	Skipped
GPX.25.selenocysteine	ENSCUYP00005017238	Downstream
GPX.25.selenocysteine	ENSCUYP00005017245	Downstream
GPX.25.selenocysteine	ENSCUYP00005017254	Downstream
GPX.26.selenocysteine	ENSCUYP00005017311	Downstream
GPX.26.selenocysteine	ENSCUYP00005017320	Skipped
GPX.4.selenocysteine	ENSCUYP00005013302	Downstream
GPX.4.selenocysteine	ENSCUYP00005013309	Skipped
GPX.5.selenocysteine	ENSCUYP00005011851	Downstream
GPX.5.selenocysteine	ENSCUYP00005011862	Skipped
GPX.8.selenocysteine	ENSCUYP00005001839	Skipped
GPX.8.selenocysteine	ENSCUYP00005001850	Downstream
GPX.9.selenocysteine	ENSCUYP00005001850	Upstream
MsrA.10.selenocysteine	ENSCUYP00005004667	Downstream
MsrA.10.selenocysteine	ENSCUYP00005004674	Downstream
SELENOF.2.selenocysteine	ENSCUYP00005008776	Stop codon
SELENOJ.1.selenocysteine	ENSCUYP00005007922	Skipped
SELENOJ.1.selenocysteine	ENSCUYP00005007931	Stop codon
SELENOL.1.selenocysteine	ENSCUYP00005013175	Stop codon
SELENOL.1.selenocysteine	ENSCUYP00005013587	Downstream
SELENON.4.selenocysteine	ENSCUYP00005013006	Downstream
SELENON.4.selenocysteine	ENSCUYP00005013011	Skipped
SELENOO.12.selenocysteine	ENSCUYP00005001610	Upstream
SELENOO.12.selenocysteine	ENSCUYP00005001623	Stop codon
SELENOP.2.selenocysteine	ENSCUYP00005014706	Downstream
SELENOT.3.selenocysteine	ENSCUYP00005024061	Downstream
SELENOT.3.selenocysteine	ENSCUYP00005024067	Downstream
SELENOU.5.selenocysteine	ENSCUYP00005003714	Skipped
SELENOW.2.selenocysteine	ENSCUYP00005012245	Downstream
SEPHS2.3.selenocysteine	ENSCUYP00005021195	Downstream
TXNRD.10.selenocysteine	ENSCUYP00005021328	Stop codon
TXNRD.10.selenocysteine	ENSCUYP00005021339	Upstream
TXNRD.10.selenocysteine	ENSCUYP00005021354	Upstream
