transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAG8011187.1	Downstream
DIO.1.selenocysteine	cds-KAG8011188.1	Stop codon
DIO.2.selenocysteine	cds-KAG8013325.1	Downstream
DIO.2.selenocysteine	cds-KAG8013326.1	Stop codon
DIO.4.selenocysteine	cds-KAG8013429.1	Downstream
DIO.4.selenocysteine	cds-KAG8013430.1	Stop codon
GPX.19.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0013599	Skipped
GPX.3.selenocysteine	cds-KAG8007846.1	Downstream
GPX.4.selenocysteine	cds-KAG8007741.1	Downstream
GPX.6.selenocysteine	cds-KAG8013644.1	Downstream
GPX.8.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0001355	Skipped
MSRB.1.selenocysteine	cds-KAG8007008.1	Stop codon
MSRB.2.selenocysteine	cds-KAG8007007.1	Out of frame
MSRB.4.selenocysteine	cds-KAG8009039.1	Stop codon
SELENOF.1.selenocysteine	cds-KAG8014025.1	Skipped
SELENOI.8.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0008589	Stop codon
SELENOJ.15.selenocysteine	cds-KAG8013904.1	Skipped
SELENOJ.16.selenocysteine	cds-KAG8013904.1	Skipped
SELENOJ.24.selenocysteine	cds-KAG8009364.1	Skipped
SELENOL.9.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0009110	Skipped
SELENOM.3.selenocysteine	cds-KAG8012005.1	Skipped
SELENOO.12.selenocysteine	cds-KAG8012480.1	Stop codon
SELENOO.3.selenocysteine	cds-KAG8005781.1	Stop codon
SELENOP.2.selenocysteine	cds-KAG8011918.1	Downstream
SELENOP.4.selenocysteine	cds-KAG8013859.1	Downstream
SELENOS.1.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0019954	Upstream
SELENOT.4.selenocysteine	cds-KAG8014148.1	Downstream
SELENOU.13.selenocysteine	cds-KAG8008761.1	Skipped
SELENOU.14.selenocysteine	cds-KAG8008760.1	Skipped
SELENOU.6.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0023365	Skipped
SELENOU.8.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0023365	Skipped
SEPHS2.3.selenocysteine	cds-KAG8002409.1	Downstream
TXNRD.13.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0009575	Stop codon
TXNRD.25.selenocysteine	cds-KAG8005742.1	Stop codon
TXNRD.32.selenocysteine	cds-gnl|WGS:JABGLX|cds.Mianyu0020349	Stop codon
