transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_003941651.3	Well annotated
DIO.3.selenocysteine	cds-XP_039325321.1	Well annotated
DIO.3.selenocysteine	cds-XP_074249000.1	Well annotated
DIO.4.selenocysteine	cds-XP_010347062.2	Well annotated
GPX.18.selenocysteine	cds-XP_003944526.2	Well annotated
GPX.18.selenocysteine	cds-XP_039322502.1	Well annotated
GPX.21.selenocysteine	cds-XP_003934086.3	Well annotated
GPX.4.selenocysteine	cds-XP_010345467.2	Well annotated
GPX.5.selenocysteine	cds-XP_003924483.2	Well annotated
GPX.5.selenocysteine	cds-XP_039324937.1	Skipped
MSRB.2.selenocysteine	cds-XP_003945250.2	Well annotated
MSRB.2.selenocysteine	cds-XP_039333670.1	Upstream
SELENOF.2.selenocysteine	cds-XP_003943316.2	Well annotated
SELENOH.4.selenocysteine	cds-XP_003945343.2	Well annotated
SELENOI.8.selenocysteine	cds-XP_003941638.2	Well annotated
SELENOK.11.selenocysteine	cds-XP_039333444.1	Well annotated
SELENOM.4.selenocysteine	cds-XP_039318491.1	Well annotated
SELENON.12.selenocysteine	cds-XP_039329804.2	Well annotated
SELENON.12.selenocysteine	cds-XP_074236398.1	Well annotated
SELENON.12.selenocysteine	cds-XP_074236399.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_003932823.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_074246973.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_003925940.3	Well annotated
SELENOS.3.selenocysteine	cds-XP_003940591.4	Stop codon
SELENOT.3.selenocysteine	cds-XP_039336129.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_003945186.2	Well annotated
SELENOW.3.selenocysteine	cds-XP_074242232.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_074242456.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_074242457.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_074242458.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_074242459.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_074242460.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_010338982.2	Well annotated
TXNRD.22.selenocysteine	cds-XP_039333562.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_074260282.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_074260283.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_003929680.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_003929682.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_074258407.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_039318376.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_039318377.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_039318378.1	Upstream
TXNRD.34.selenocysteine	cds-XP_039318379.1	Upstream
TXNRD.34.selenocysteine	cds-XP_074246914.1	Upstream
TXNRD.34.selenocysteine	cds-XP_074246915.1	Upstream
