transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAM9149072.1	Well annotated
DIO.3.selenocysteine	cds-KAM9149299.1	Well annotated
DIO.5.selenocysteine	cds-KAM9130393.1	Well annotated
DIO.5.selenocysteine	cds-KAM9130394.1	Well annotated
GPX.13.selenocysteine	cds-KAM9112249.1	Well annotated
GPX.2.selenocysteine	cds-KAM9133546.1	Well annotated
GPX.2.selenocysteine	cds-KAM9133547.1	Skipped
GPX.3.selenocysteine	cds-KAM9146843.1	Well annotated
GPX.8.selenocysteine	cds-KAM9128888.1	Well annotated
MSRB.1.selenocysteine	cds-KAM9124551.1	Well annotated
SELENOF.3.selenocysteine	cds-KAM9129577.1	Well annotated
SELENOH.1.selenocysteine	cds-KAM9147730.1	Well annotated
SELENOI.3.selenocysteine	cds-KAM9155451.1	Well annotated
SELENOI.3.selenocysteine	cds-KAM9155452.1	Stop codon
SELENOK.3.selenocysteine	cds-KAM9132739.1	Stop codon
SELENOM.2.selenocysteine	cds-KAM9118628.1	Well annotated
SELENON.8.selenocysteine	cds-KAM9116719.1	Well annotated
SELENOO.5.selenocysteine	cds-KAM9171595.1	Stop codon
SELENOP.4.selenocysteine	cds-KAM9129670.1	Well annotated
SELENOS.5.selenocysteine	cds-KAM9125189.1	Stop codon
SELENOS.5.selenocysteine	cds-KAM9125190.1	Stop codon
SELENOT.3.selenocysteine	cds-KAM9128149.1	Well annotated
TXNRD.20.selenocysteine	cds-KAM9174147.1	Stop codon
TXNRD.20.selenocysteine	cds-KAM9174148.1	Stop codon
TXNRD.20.selenocysteine	cds-KAM9174149.1	Stop codon
TXNRD.20.selenocysteine	cds-KAM9174150.1	Stop codon
TXNRD.34.selenocysteine	cds-KAM9118279.1	Stop codon
TXNRD.9.selenocysteine	cds-KAM9134653.1	Stop codon
