transcript_id	transcript_id_ens	Type_annotation
AhpC.6.selenocysteine	cds-CAL6432980.1	Downstream
AhpC.6.selenocysteine	cds-CAL6433004.1	Stop codon
EhSEP2.1.selenocysteine	cds-CAL6336024.1	Downstream
FrnE.1.selenocysteine	cds-CAL6424147.1	Downstream
FrnE.2.selenocysteine	cds-CAL6419847.1	Downstream
GPX.1.selenocysteine	cds-CAL6309047.1	Skipped
GPX.2.selenocysteine	cds-CAL6406824.1	Skipped
GPX.3.selenocysteine	cds-CAL6277501.1	Skipped
GPX.4.selenocysteine	cds-CAL6431738.1	Skipped
MSP.1.selenocysteine	cds-CAL6336297.1	Downstream
MsrA.2.selenocysteine	cds-CAL6275402.1	Out of frame
MsrA.2.selenocysteine	cds-CAL6275427.1	Downstream
MsrA.4.selenocysteine	cds-CAL6417125.1	Downstream
Ostsp1.1.selenocysteine	cds-CAL6402448.1	Stop codon
Ostsp3.2.selenocysteine	cds-CAL6348762.1	Downstream
Ostsp3.2.selenocysteine	cds-CAL6348792.1	Stop codon
SELENOF.1.selenocysteine	cds-CAL6282573.1	Downstream
SELENOM.1.selenocysteine	cds-CAL6303883.1	Downstream
SELENOT.5.selenocysteine	cds-CAL6415889.1	Skipped
SELENOU.1.selenocysteine	cds-CAL6315672.1	Stop codon
SELENOU.1.selenocysteine	cds-CAL6315695.1	Downstream
SELENOU.4.selenocysteine	cds-CAL6276115.1	Skipped
SELENOW.1.selenocysteine	cds-CAL6274635.1	Downstream
SELENOW.6.selenocysteine	cds-CAL6317360.1	Downstream
TXNRD.1.selenocysteine	cds-CAL6342907.1	Stop codon
