transcript_id	transcript_id_ens	Type_annotation
GPX.16.selenocysteine	ENSCAPP00000004751	Skipped
GPX.2.selenocysteine	ENSCAPP00000012504	Downstream
GPX.20.selenocysteine	ENSCAPP00000010220	Skipped
GPX.6.selenocysteine	ENSCAPP00000012718	Skipped
MSRB.1.selenocysteine	ENSCAPP00000016936	Stop codon
SELENOI.5.selenocysteine	ENSCAPP00000008910	Stop codon
SELENOK.4.selenocysteine	ENSCAPP00000013752	Stop codon
SELENON.10.selenocysteine	ENSCAPP00000018197	Skipped
SELENOO.5.selenocysteine	ENSCAPP00000003992	Stop codon
SELENOP.3.selenocysteine	ENSCAPP00000013871	Downstream
SELENOS.4.selenocysteine	ENSCAPP00000012088	Stop codon
SELENOT.3.selenocysteine	ENSCAPP00000010352	Downstream
TXNRD.12.selenocysteine	ENSCAPP00000011738	Skipped
TXNRD.26.selenocysteine	ENSCAPP00000002434	Skipped
TXNRD.26.selenocysteine	ENSCAPP00000002436	Skipped
