transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAF6485697.1	Stop codon
DIO.1.selenocysteine	cds-KAF6485698.1	Downstream
DIO.3.selenocysteine	cds-KAF6485631.1	Stop codon
GPX.20.selenocysteine	cds-KAF6447744.1	Downstream
GPX.7.selenocysteine	cds-KAF6401626.1	Downstream
GPX.7.selenocysteine	cds-KAF6401627.1	Skipped
SELENOF.3.selenocysteine	cds-KAF6506003.1	Out of frame
SELENOF.3.selenocysteine	cds-KAF6506004.1	Out of frame
SELENON.2.selenocysteine	cds-KAF6505919.1	Downstream
SELENON.2.selenocysteine	cds-KAF6507890.1	Stop codon
SELENOO.1.selenocysteine	cds-KAF6496190.1	Stop codon
SELENOO.1.selenocysteine	cds-KAF6496191.1	Upstream
TXNRD.10.selenocysteine	cds-KAF6494662.1	Stop codon
TXNRD.10.selenocysteine	cds-KAF6494663.1	Stop codon
TXNRD.10.selenocysteine	cds-KAF6494664.1	Stop codon
TXNRD.10.selenocysteine	cds-KAF6494665.1	Stop codon
TXNRD.10.selenocysteine	cds-KAF6494666.1	Stop codon
TXNRD.14.selenocysteine	cds-KAF6422795.1	Stop codon
TXNRD.14.selenocysteine	cds-KAF6422796.1	Stop codon
TXNRD.14.selenocysteine	cds-KAF6422797.1	Stop codon
TXNRD.14.selenocysteine	cds-KAF6422798.1	Stop codon
TXNRD.14.selenocysteine	cds-KAF6422799.1	Stop codon
