transcript_id	transcript_id_ens	Type_annotation
GPX.14.selenocysteine	cds-XP_037557041.1	Well annotated
GPX.14.selenocysteine	cds-XP_037557042.1	Well annotated
GPX.8.selenocysteine	cds-XP_037578813.1	Well annotated
MSRB.1.selenocysteine	cds-XP_037571119.1	Well annotated
MSRB.2.selenocysteine	cds-XP_049523569.1	Well annotated
MsrA.4.selenocysteine	cds-XP_037558383.2	Well annotated
SELENON.2.selenocysteine	cds-XP_037581404.1	Well annotated
SELENOS.20.selenocysteine	cds-XP_037574162.1	Stop codon
SELENOT.1.selenocysteine	cds-XP_037562167.1	Downstream
SEPHS2.4.selenocysteine	cds-XP_037583037.1	Well annotated
SEPHS2.9.selenocysteine	cds-XP_037556546.1	Downstream
TXNRD.16.selenocysteine	cds-XP_037578260.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_037578261.1	Stop codon
