transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_018413929.1	Well annotated
DIO.3.selenocysteine	cds-XP_018430035.1	Well annotated
DIO.5.selenocysteine	cds-XP_018419514.1	Well annotated
DIO.5.selenocysteine	cds-XP_018419516.1	Well annotated
DIO.5.selenocysteine	cds-XP_018419517.1	Well annotated
DIO.5.selenocysteine	cds-XP_018419518.1	Well annotated
GPX.11.selenocysteine	cds-XP_018411098.1	Well annotated
GPX.12.selenocysteine	cds-XP_018415016.1	Well annotated
GPX.2.selenocysteine	cds-XP_018431167.1	Well annotated
MSRB.1.selenocysteine	cds-XP_018416724.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_018411410.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_018425947.1	Skipped
SELENOI.5.selenocysteine	cds-XP_018430337.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_018410754.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_018411006.1	Well annotated
SELENON.1.selenocysteine	cds-XP_018423654.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_018432248.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_018432249.1	Stop codon
SELENOP.2.selenocysteine	cds-XP_018417817.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_018422267.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_018421386.1	Well annotated
SEPHS2.3.selenocysteine	cds-XP_018417342.1	Downstream
SEPHS2.3.selenocysteine	cds-XP_018417343.1	Well annotated
TXNRD.22.selenocysteine	cds-XP_018409445.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_018409446.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_018412482.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_018414429.1	Stop codon
