transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_082341677.1	Well annotated
DIO.3.selenocysteine	cds-XP_082341343.1	Well annotated
DIO.3.selenocysteine	cds-XP_082341344.1	Well annotated
DIO.3.selenocysteine	cds-XP_082341345.1	Out of frame
DIO.5.selenocysteine	cds-XP_082339745.1	Well annotated
GPX.1.selenocysteine	cds-XP_082341740.1	Well annotated
GPX.3.selenocysteine	cds-XP_082344120.1	Well annotated
GPX.5.selenocysteine	cds-XP_082345936.1	Well annotated
GPX.8.selenocysteine	cds-XP_082351591.1	Well annotated
MSRB.1.selenocysteine	cds-XP_082346753.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_082340526.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_082356363.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_082356364.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_082356365.1	Well annotated
SELENOI.6.selenocysteine	cds-XP_082337081.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_082344008.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_082347763.1	Well annotated
SELENON.3.selenocysteine	cds-XP_082350358.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_082354503.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_082340298.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_082353389.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_082344683.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_082343515.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_082342600.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_082342601.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_082342602.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_082356494.1	Downstream
TXNRD.20.selenocysteine	cds-XP_082354267.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_082347698.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_082347699.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_082343724.1	Stop codon
