transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSBIPP00000027978	Downstream
DIO.1.selenocysteine	ENSBIPP00000029015	Stop codon
FrnE.1.selenocysteine	ENSBIPP00000009318	Downstream
GPX.2.selenocysteine	ENSBIPP00000009408	Skipped
GPX.2.selenocysteine	ENSBIPP00000009425	Downstream
GPX.4.selenocysteine	ENSBIPP00000021810	Skipped
GPX.4.selenocysteine	ENSBIPP00000021816	Skipped
MSRB.2.selenocysteine	ENSBIPP00000011843	Upstream
MSRB.2.selenocysteine	ENSBIPP00000011852	Upstream
MSRB.2.selenocysteine	ENSBIPP00000011855	Upstream
SELENOF.3.selenocysteine	ENSBIPP00000032050	Skipped
SELENOL.8.selenocysteine	ENSBIPP00000004528	Downstream
SELENOL.8.selenocysteine	ENSBIPP00000005472	Stop codon
SELENOM.1.selenocysteine	ENSBIPP00000027670	Downstream
SELENON.3.selenocysteine	ENSBIPP00000004438	Skipped
SELENOT.2.selenocysteine	ENSBIPP00000008033	Downstream
SELENOU.2.selenocysteine	ENSBIPP00000000869	Skipped
SELENOU.2.selenocysteine	ENSBIPP00000000876	Downstream
SEPHS2.5.selenocysteine	ENSBIPP00000014745	Skipped
SEPHS2.5.selenocysteine	ENSBIPP00000014759	Skipped
SEPHS2.5.selenocysteine	ENSBIPP00000014767	Downstream
TXNRD.20.selenocysteine	ENSBIPP00000019902	Upstream
TXNRD.20.selenocysteine	ENSBIPP00000019913	Upstream
TXNRD.20.selenocysteine	ENSBIPP00000019929	Stop codon
