transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_060722333.1	Well annotated
DIO.2.selenocysteine	cds-XP_060736464.1	Well annotated
GPX.12.selenocysteine	cds-XP_060742598.1	Well annotated
GPX.12.selenocysteine	cds-XP_060742599.1	Well annotated
GPX.12.selenocysteine	cds-XP_060742601.1	Well annotated
GPX.16.selenocysteine	cds-XP_060735925.1	Well annotated
GPX.19.selenocysteine	cds-XP_060725410.1	Well annotated
GPX.2.selenocysteine	cds-XP_060714524.1	Well annotated
GPX.20.selenocysteine	cds-XP_060735982.1	Downstream
GPX.21.selenocysteine	cds-XP_060735938.1	Downstream
GPX.28.selenocysteine	cds-XP_060745680.1	Well annotated
GPX.4.selenocysteine	cds-XP_060723963.1	Well annotated
GPX.6.selenocysteine	cds-XP_060736141.1	Well annotated
MSRB.1.selenocysteine	cds-XP_060716275.1	Well annotated
MSRB.2.selenocysteine	cds-XP_060749206.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_060739370.1	Well annotated
SELENOF.2.selenocysteine	cds-XP_060743971.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_060741012.1	Well annotated
SELENOI.2.selenocysteine	cds-XP_060750353.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_060737256.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_060739584.1	Well annotated
SELENON.5.selenocysteine	cds-XP_060734961.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_060734166.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_060738473.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_060729668.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_060740275.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_060741080.1	Well annotated
SELENOT.7.selenocysteine	cds-XP_060729797.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_060728286.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_060728287.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_060728288.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_060748270.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_060748271.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_060719559.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_060749677.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_060738978.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_060724005.1	Stop codon
