transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_064515262.1	Well annotated
DIO.3.selenocysteine	cds-XP_064514964.1	Well annotated
DIO.3.selenocysteine	cds-XP_064514965.1	Well annotated
DIO.5.selenocysteine	cds-XP_064521254.1	Well annotated
DIO.5.selenocysteine	cds-XP_064521255.1	Well annotated
GPX.13.selenocysteine	cds-XP_064493692.1	Well annotated
GPX.13.selenocysteine	cds-XP_064493693.1	Well annotated
GPX.2.selenocysteine	cds-XP_064523788.1	Well annotated
GPX.3.selenocysteine	cds-XP_064516106.1	Well annotated
GPX.7.selenocysteine	cds-XP_064528090.1	Well annotated
MSRB.1.selenocysteine	cds-XP_064529468.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_064520879.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_064520880.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_064516002.1	Well annotated
SELENOI.1.selenocysteine	cds-XP_064507294.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_064523738.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_064523739.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_064530576.1	Well annotated
SELENON.12.selenocysteine	cds-XP_064491490.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_064512264.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_064521448.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_064521449.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_064498733.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_064525256.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_064521707.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_064518599.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_064518600.1	Well annotated
SEPHS2.8.selenocysteine	cds-XP_064499562.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_064523565.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_064510907.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_064510908.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_064531366.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_064531367.1	Stop codon
