transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSMSHP00015033914	Downstream
DIO.3.selenocysteine	ENSMSHP00015004413	Out of frame
DIO.4.selenocysteine	ENSMSHP00015002694	Skipped
DIO.4.selenocysteine	ENSMSHP00015002697	Skipped
DIO.4.selenocysteine	ENSMSHP00015002699	Stop codon
GPX.10.selenocysteine	ENSMSHP00015025695	Downstream
GPX.10.selenocysteine	ENSMSHP00015025703	Skipped
GPX.14.selenocysteine	ENSMSHP00015020055	Skipped
GPX.2.selenocysteine	ENSMSHP00015023816	Downstream
GPX.2.selenocysteine	ENSMSHP00015023819	Downstream
GPX.4.selenocysteine	ENSMSHP00015019144	Downstream
MSRB.2.selenocysteine	ENSMSHP00015013059	Stop codon
SELENOF.3.selenocysteine	ENSMSHP00015000921	Skipped
SELENOH.1.selenocysteine	ENSMSHP00015034248	Skipped
SELENOI.3.selenocysteine	ENSMSHP00015009538	Stop codon
SELENOM.1.selenocysteine	ENSMSHP00015006098	Skipped
SELENON.12.selenocysteine	ENSMSHP00015032446	Skipped
SELENOO.8.selenocysteine	ENSMSHP00015033133	Stop codon
SELENOS.3.selenocysteine	ENSMSHP00015004192	Stop codon
SELENOT.3.selenocysteine	ENSMSHP00015000096	Skipped
SELENOW.3.selenocysteine	ENSMSHP00015008159	Skipped
SEPHS2.1.selenocysteine	ENSMSHP00015033218	Skipped
SEPHS2.2.selenocysteine	ENSMSHP00015033239	Skipped
TXNRD.10.selenocysteine	ENSMSHP00015026303	Upstream
TXNRD.10.selenocysteine	ENSMSHP00015026317	Stop codon
TXNRD.10.selenocysteine	ENSMSHP00015026330	Stop codon
TXNRD.10.selenocysteine	ENSMSHP00015026342	Stop codon
TXNRD.25.selenocysteine	ENSMSHP00015021697	Stop codon
TXNRD.25.selenocysteine	ENSMSHP00015021701	Stop codon
TXNRD.31.selenocysteine	ENSMSHP00015006181	Stop codon
TXNRD.31.selenocysteine	ENSMSHP00015006184	Stop codon
