transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPCLP00000006582	Downstream
DIO.1.selenocysteine	ENSPCLP00000006584	Stop codon
DIO.3.selenocysteine	ENSPCLP00000007022	Stop codon
DIO.5.selenocysteine	ENSPCLP00000005978	Skipped
GPX.1.selenocysteine	ENSPCLP00000017745	Skipped
GPX.1.selenocysteine	ENSPCLP00000017747	Skipped
GPX.3.selenocysteine	ENSPCLP00000019545	Skipped
GPX.6.selenocysteine	ENSPCLP00000011867	Well annotated
GPX.7.selenocysteine	ENSPCLP00000015320	Downstream
GPX.7.selenocysteine	ENSPCLP00000015321	Upstream
MSRB.1.selenocysteine	ENSPCLP00000017664	Stop codon
SELENOF.1.selenocysteine	ENSPCLP00000025120	Upstream
SELENOF.1.selenocysteine	ENSPCLP00000025121	Upstream
SELENOH.3.selenocysteine	ENSPCLP00000007618	Skipped
SELENOI.3.selenocysteine	ENSPCLP00000014378	Out of frame
SELENOK.2.selenocysteine	ENSPCLP00000000973	Stop codon
SELENOM.3.selenocysteine	ENSPCLP00000006393	Downstream
SELENON.2.selenocysteine	ENSPCLP00000008126	Skipped
SELENOO.5.selenocysteine	ENSPCLP00000001013	Stop codon
SELENOP.1.selenocysteine	ENSPCLP00000016845	Skipped
SELENOP.5.selenocysteine	ENSPCLP00000005429	Skipped
SELENOS.5.selenocysteine	ENSPCLP00000006161	Stop codon
SELENOT.2.selenocysteine	ENSPCLP00000013114	Stop codon
SELENOT.2.selenocysteine	ENSPCLP00000013117	Downstream
SELENOU.7.selenocysteine	ENSPCLP00000015706	Stop codon
TXNRD.17.selenocysteine	ENSPCLP00000013905	Stop codon
TXNRD.32.selenocysteine	ENSPCLP00000006195	Stop codon
TXNRD.8.selenocysteine	ENSPCLP00000000807	Stop codon
