transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSPGEP00000033072	Skipped
DIO.3.selenocysteine	ENSPGEP00000010081	Skipped
DIO.4.selenocysteine	ENSPGEP00000017840	Skipped
DIO.4.selenocysteine	ENSPGEP00000064691	Skipped
DIO.4.selenocysteine	ENSPGEP00000064738	Skipped
GPX.10.selenocysteine	ENSPGEP00000013092	Skipped
GPX.10.selenocysteine	ENSPGEP00000013108	Skipped
GPX.10.selenocysteine	ENSPGEP00000013110	Skipped
GPX.10.selenocysteine	ENSPGEP00000062961	Skipped
GPX.14.selenocysteine	ENSPGEP00000043101	Skipped
GPX.14.selenocysteine	ENSPGEP00000043102	Skipped
GPX.14.selenocysteine	ENSPGEP00000060209	Skipped
GPX.14.selenocysteine	ENSPGEP00000061418	Skipped
GPX.14.selenocysteine	ENSPGEP00000063362	Skipped
GPX.14.selenocysteine	ENSPGEP00000063885	Skipped
GPX.14.selenocysteine	ENSPGEP00000064958	Skipped
GPX.14.selenocysteine	ENSPGEP00000064981	Skipped
GPX.14.selenocysteine	ENSPGEP00000065231	Skipped
GPX.14.selenocysteine	ENSPGEP00000065435	Skipped
GPX.17.selenocysteine	ENSPGEP00000040307	Skipped
GPX.17.selenocysteine	ENSPGEP00000040311	Skipped
GPX.17.selenocysteine	ENSPGEP00000061093	Skipped
GPX.17.selenocysteine	ENSPGEP00000064085	Skipped
GPX.3.selenocysteine	ENSPGEP00000037838	Well annotated
GPX.4.selenocysteine	ENSPGEP00000010093	Skipped
GPX.4.selenocysteine	ENSPGEP00000060422	Skipped
GPX.4.selenocysteine	ENSPGEP00000061150	Skipped
GPX.4.selenocysteine	ENSPGEP00000062777	Skipped
GPX.6.selenocysteine	ENSPGEP00000025970	Skipped
GPX.6.selenocysteine	ENSPGEP00000059821	Skipped
GPX.6.selenocysteine	ENSPGEP00000060741	Skipped
GPX.6.selenocysteine	ENSPGEP00000062308	Out of frame
GPX.6.selenocysteine	ENSPGEP00000064427	Skipped
GPX.6.selenocysteine	ENSPGEP00000064843	Skipped
GPX.7.selenocysteine	ENSPGEP00000046239	Skipped
GPX.7.selenocysteine	ENSPGEP00000046250	Skipped
GPX.7.selenocysteine	ENSPGEP00000061833	Skipped
GPX.7.selenocysteine	ENSPGEP00000063961	Skipped
GPX.7.selenocysteine	ENSPGEP00000064324	Skipped
MSRB.2.selenocysteine	ENSPGEP00000004197	Stop codon
MSRB.7.selenocysteine	ENSPGEP00000063010	Stop codon
SELENOF.3.selenocysteine	ENSPGEP00000062539	Skipped
SELENOH.1.selenocysteine	ENSPGEP00000007479	Skipped
SELENOI.7.selenocysteine	ENSPGEP00000043539	Stop codon
SELENOI.7.selenocysteine	ENSPGEP00000043544	Stop codon
SELENOJ.1.selenocysteine	ENSPGEP00000050785	Skipped
SELENOK.1.selenocysteine	ENSPGEP00000039875	Stop codon
SELENOL.3.selenocysteine	ENSPGEP00000014512	Downstream
SELENOM.3.selenocysteine	ENSPGEP00000064155	Downstream
SELENOM.3.selenocysteine	ENSPGEP00000064625	Downstream
SELENON.3.selenocysteine	ENSPGEP00000047369	Skipped
SELENOO.5.selenocysteine	ENSPGEP00000012246	Upstream
SELENOP.3.selenocysteine	ENSPGEP00000001192	Downstream
SELENOP.3.selenocysteine	ENSPGEP00000063284	Skipped
SELENOP.3.selenocysteine	ENSPGEP00000065003	Downstream
SELENOP.5.selenocysteine	ENSPGEP00000039625	Skipped
SELENOP.5.selenocysteine	ENSPGEP00000065901	Skipped
SELENOS.1.selenocysteine	ENSPGEP00000000172	Stop codon
SELENOT.3.selenocysteine	ENSPGEP00000011650	Skipped
SELENOU.11.selenocysteine	ENSPGEP00000042551	Skipped
SELENOU.11.selenocysteine	ENSPGEP00000065433	Skipped
SELENOU.5.selenocysteine	ENSPGEP00000005857	Skipped
SELENOU.9.selenocysteine	ENSPGEP00000005864	Skipped
SELENOW.1.selenocysteine	ENSPGEP00000024231	Downstream
SEPHS2.7.selenocysteine	ENSPGEP00000046388	Downstream
TXNRD.10.selenocysteine	ENSPGEP00000021532	Well annotated
TXNRD.10.selenocysteine	ENSPGEP00000021626	Upstream
TXNRD.10.selenocysteine	ENSPGEP00000021712	Upstream
TXNRD.10.selenocysteine	ENSPGEP00000021713	Upstream
TXNRD.10.selenocysteine	ENSPGEP00000021815	Upstream
TXNRD.10.selenocysteine	ENSPGEP00000021829	Upstream
TXNRD.20.selenocysteine	ENSPGEP00000053887	Skipped
TXNRD.34.selenocysteine	ENSPGEP00000052789	Upstream
TXNRD.34.selenocysteine	ENSPGEP00000052791	Upstream
