transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_078090254.1	Well annotated
DIO.2.selenocysteine	cds-XP_078089340.1	Well annotated
DIO.3.selenocysteine	cds-XP_078074408.1	Well annotated
GPX.12.selenocysteine	cds-XP_078064313.1	Well annotated
GPX.18.selenocysteine	cds-XP_078055802.1	Downstream
GPX.2.selenocysteine	cds-XP_078089526.1	Well annotated
GPX.21.selenocysteine	cds-XP_078054433.1	Well annotated
SELENOE.2.selenocysteine	cds-XP_078083805.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_078075056.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_078064483.1	Out of frame
SELENOI.8.selenocysteine	cds-XP_078069172.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_078065743.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_078065744.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_078065746.1	Stop codon
SELENOL.5.selenocysteine	cds-XP_078069492.1	Stop codon
SELENOM.1.selenocysteine	cds-XP_078083803.1	Well annotated
SELENON.5.selenocysteine	cds-XP_078094279.1	Well annotated
SELENOO.4.selenocysteine	cds-XP_078091686.1	Stop codon
SELENOO.4.selenocysteine	cds-XP_078091687.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_078071392.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_078097725.1	Stop codon
SELENOT.4.selenocysteine	cds-XP_078061369.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_078079777.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_078079778.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_078079779.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_078079780.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_078063076.1	Well annotated
SEPHS2.3.selenocysteine	cds-XP_078062928.1	Downstream
TXNRD.10.selenocysteine	cds-XP_078066120.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_078075792.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_078075793.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_078075794.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_078075795.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_078075796.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_078083362.1	Stop codon
