transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAJ7345189.1	Stop codon
DIO.1.selenocysteine	cds-KAJ7345190.1	Downstream
DIO.3.selenocysteine	cds-KAJ7345063.1	Skipped
DIO.5.selenocysteine	cds-KAJ7332696.1	Upstream
GPX.13.selenocysteine	cds-KAJ7308479.1	Skipped
GPX.3.selenocysteine	cds-KAJ7316650.1	Skipped
GPX.5.selenocysteine	cds-KAJ7316385.1	Downstream
GPX.5.selenocysteine	cds-KAJ7316386.1	Stop codon
GPX.8.selenocysteine	cds-KAJ7344121.1	Downstream
MSRB.1.selenocysteine	cds-KAJ7306110.1	Stop codon
SELENOF.3.selenocysteine	cds-KAJ7332530.1	Upstream
SELENOF.3.selenocysteine	cds-KAJ7332531.1	Downstream
SELENOH.3.selenocysteine	cds-KAJ7344182.1	Skipped
SELENOI.5.selenocysteine	cds-KAJ7341399.1	Stop codon
SELENOM.2.selenocysteine	cds-KAJ7309576.1	Downstream
SELENON.12.selenocysteine	cds-KAJ7304322.1	Skipped
SELENOP.1.selenocysteine	cds-KAJ7335021.1	Out of frame
SELENOP.5.selenocysteine	cds-KAJ7332813.1	Downstream
SELENOT.3.selenocysteine	cds-KAJ7324779.1	Downstream
SELENOU.10.selenocysteine	cds-KAJ7324369.1	Skipped
TXNRD.10.selenocysteine	cds-KAJ7316917.1	Upstream
TXNRD.12.selenocysteine	cds-KAJ7329061.1	Stop codon
TXNRD.33.selenocysteine	cds-KAJ7309686.1	Stop codon
