transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCWAP00000006987	Downstream
DIO.3.selenocysteine	ENSCWAP00000006601	Out of frame
DIO.5.selenocysteine	ENSCWAP00000023948	Skipped
DIO.5.selenocysteine	ENSCWAP00000023964	Skipped
DIO.5.selenocysteine	ENSCWAP00000023971	Stop codon
DIO.5.selenocysteine	ENSCWAP00000023981	Upstream
GPX.10.selenocysteine	ENSCWAP00000003811	Stop codon
GPX.16.selenocysteine	ENSCWAP00000009695	Skipped
GPX.26.selenocysteine	ENSCWAP00000006451	Skipped
GPX.3.selenocysteine	ENSCWAP00000023980	Downstream
GPX.5.selenocysteine	ENSCWAP00000029443	Downstream
MSRB.1.selenocysteine	ENSCWAP00000012912	Stop codon
SELENOF.3.selenocysteine	ENSCWAP00000019488	Skipped
SELENOF.3.selenocysteine	ENSCWAP00000019496	Stop codon
SELENOH.2.selenocysteine	ENSCWAP00000008030	Skipped
SELENOI.4.selenocysteine	ENSCWAP00000012803	Stop codon
SELENOK.1.selenocysteine	ENSCWAP00000025753	Stop codon
SELENOM.2.selenocysteine	ENSCWAP00000013677	Skipped
SELENON.10.selenocysteine	ENSCWAP00000008043	Skipped
SELENOO.3.selenocysteine	ENSCWAP00000012840	Stop codon
SELENOP.2.selenocysteine	ENSCWAP00000005254	Skipped
SELENOS.1.selenocysteine	ENSCWAP00000011786	Stop codon
SELENOT.3.selenocysteine	ENSCWAP00000022284	Skipped
SELENOW.3.selenocysteine	ENSCWAP00000016579	Downstream
SEPHS2.1.selenocysteine	ENSCWAP00000023158	Downstream
SEPHS2.1.selenocysteine	ENSCWAP00000023172	Stop codon
TXNRD.21.selenocysteine	ENSCWAP00000008746	Stop codon
TXNRD.21.selenocysteine	ENSCWAP00000008764	Stop codon
TXNRD.21.selenocysteine	ENSCWAP00000008813	Stop codon
TXNRD.21.selenocysteine	ENSCWAP00000008832	Stop codon
TXNRD.21.selenocysteine	ENSCWAP00000008872	Stop codon
TXNRD.31.selenocysteine	ENSCWAP00000005196	Stop codon
TXNRD.31.selenocysteine	ENSCWAP00000005248	Upstream
TXNRD.31.selenocysteine	ENSCWAP00000005262	Upstream
TXNRD.4.selenocysteine	ENSCWAP00000028409	Stop codon
TXNRD.4.selenocysteine	ENSCWAP00000028421	Stop codon
TXNRD.4.selenocysteine	ENSCWAP00000028434	Stop codon
