transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAM4633438.1	Well annotated
DIO.2.selenocysteine	cds-KAM4625084.1	Well annotated
DIO.3.selenocysteine	cds-KAM4624811.1	Well annotated
DIO.9.selenocysteine	cds-KAM4629102.1	Well annotated
DIO.9.selenocysteine	cds-KAM4629103.1	Skipped
GPX.10.selenocysteine	cds-KAM4621398.1	Well annotated
GPX.2.selenocysteine	cds-KAM4612638.1	Well annotated
GPX.3.selenocysteine	cds-KAM4624997.1	Well annotated
GPX.6.selenocysteine	cds-KAM4629437.1	Well annotated
GPX.6.selenocysteine	cds-KAM4629438.1	Well annotated
GPX.6.selenocysteine	cds-KAM4629439.1	Well annotated
GPX.9.selenocysteine	cds-KAM4623857.1	Well annotated
MSRB.3.selenocysteine	cds-KAM4598426.1	Upstream
MSRB.3.selenocysteine	cds-KAM4598427.1	Upstream
MSRB.8.selenocysteine	cds-KAM4623314.1	Well annotated
SELENOE.3.selenocysteine	cds-KAM4616078.1	Well annotated
SELENOF.1.selenocysteine	cds-KAM4604605.1	Well annotated
SELENOH.2.selenocysteine	cds-KAM4621270.1	Well annotated
SELENOI.3.selenocysteine	cds-KAM4633145.1	Well annotated
SELENOJ.3.selenocysteine	cds-KAM4605569.1	Well annotated
SELENOK.1.selenocysteine	cds-KAM4610841.1	Stop codon
SELENOL.5.selenocysteine	cds-KAM4634003.1	Well annotated
SELENOM.3.selenocysteine	cds-KAM4615736.1	Well annotated
SELENOM.3.selenocysteine	cds-KAM4615737.1	Well annotated
SELENON.3.selenocysteine	cds-KAM4625986.1	Well annotated
SELENOO.16.selenocysteine	cds-KAM4615563.1	Stop codon
SELENOO.5.selenocysteine	cds-KAM4618812.1	Stop codon
SELENOP.3.selenocysteine	cds-KAM4616324.1	Well annotated
SELENOP.4.selenocysteine	cds-KAM4605576.1	Well annotated
SELENOS.2.selenocysteine	cds-KAM4602769.1	Stop codon
SELENOT.2.selenocysteine	cds-KAM4605021.1	Well annotated
SELENOT.5.selenocysteine	cds-KAM4621701.1	Well annotated
SELENOU.5.selenocysteine	cds-KAM4607974.1	Well annotated
SELENOU.5.selenocysteine	cds-KAM4607975.1	Well annotated
SELENOU.5.selenocysteine	cds-KAM4607976.1	Well annotated
SELENOU.5.selenocysteine	cds-KAM4607977.1	Well annotated
SELENOW.2.selenocysteine	cds-KAM4598736.1	Well annotated
SEPHS2.8.selenocysteine	cds-KAM4610947.1	Well annotated
TXNRD.10.selenocysteine	cds-KAM4597629.1	Stop codon
TXNRD.10.selenocysteine	cds-KAM4597630.1	Stop codon
TXNRD.10.selenocysteine	cds-KAM4597631.1	Stop codon
TXNRD.22.selenocysteine	cds-KAM4624940.1	Stop codon
TXNRD.22.selenocysteine	cds-KAM4624941.1	Stop codon
TXNRD.22.selenocysteine	cds-KAM4624942.1	Stop codon
TXNRD.22.selenocysteine	cds-KAM4624943.1	Stop codon
TXNRD.32.selenocysteine	cds-KAM4615282.1	Stop codon
TXNRD.32.selenocysteine	cds-KAM4615283.1	Stop codon
TXNRD.32.selenocysteine	cds-KAM4615284.1	Stop codon
TXNRD.39.selenocysteine	cds-KAM4615715.1	Stop codon
