transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSKKGP00000025313	Skipped
DIO.1.selenocysteine	ENSKKGP00000025325	Out of frame
GPX.3.selenocysteine	ENSKKGP00000027723	Skipped
GPX.3.selenocysteine	ENSKKGP00000027735	Downstream
GPX.5.selenocysteine	ENSKKGP00000021983	Skipped
GPX.5.selenocysteine	ENSKKGP00000021994	Out of frame
GPX.9.selenocysteine	ENSKKGP00000007861	Downstream
GPX.9.selenocysteine	ENSKKGP00000007872	Downstream
GPX.9.selenocysteine	ENSKKGP00000007879	Downstream
MSRB.11.selenocysteine	ENSKKGP00000011393	Stop codon
SELENOF.2.selenocysteine	ENSKKGP00000038906	Skipped
SELENOF.2.selenocysteine	ENSKKGP00000038914	Stop codon
SELENOL.1.selenocysteine	ENSKKGP00000030883	Stop codon
SELENOL.1.selenocysteine	ENSKKGP00000032181	Downstream
SELENOM.2.selenocysteine	ENSKKGP00000036951	Downstream
SELENON.3.selenocysteine	ENSKKGP00000013688	Skipped
SELENON.3.selenocysteine	ENSKKGP00000013701	Stop codon
SELENOO.4.selenocysteine	ENSKKGP00000022062	Stop codon
SELENOT.3.selenocysteine	ENSKKGP00000000513	Skipped
SELENOT.3.selenocysteine	ENSKKGP00000000527	Downstream
SELENOT.6.selenocysteine	ENSKKGP00000008881	Downstream
SELENOU.5.selenocysteine	ENSKKGP00000026599	Skipped
SELENOU.5.selenocysteine	ENSKKGP00000026612	Skipped
SELENOU.5.selenocysteine	ENSKKGP00000026618	Skipped
SEPHS2.3.selenocysteine	ENSKKGP00000022086	Downstream
SEPHS2.3.selenocysteine	ENSKKGP00000022102	Downstream
SEPHS2.3.selenocysteine	ENSKKGP00000022112	Downstream
TXNRD.13.selenocysteine	ENSKKGP00000015121	Stop codon
TXNRD.13.selenocysteine	ENSKKGP00000015132	Stop codon
