transcript_id	transcript_id_ens	Type_annotation
AhpC.1.selenocysteine	cds-CAE7733554.1	Skipped
AhpC.6.selenocysteine	cds-CAE7874893.1	Skipped
AhpC.7.selenocysteine	cds-CAE7163734.1	Skipped
DIO.5.selenocysteine	cds-CAE7885345.1	Skipped
EhSEP2.38.selenocysteine	cds-CAE7887806.1	Downstream
GPX.11.selenocysteine	cds-CAE7206121.1	Out of frame
GPX.6.selenocysteine	cds-CAE7752724.1	Out of frame
MSRB.8.selenocysteine	cds-CAE7780104.1	Stop codon
SELENOJ.4.selenocysteine	cds-CAE7634991.1	Upstream
SELENOM.1.selenocysteine	cds-CAE7689711.1	Downstream
SELENOW.3.selenocysteine	cds-CAE7523751.1	Downstream
