transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02970049133	Downstream
DIO.1.selenocysteine	ENSP02970049134	Well annotated
DIO.3.selenocysteine	ENSP02970034339	Well annotated
DIO.3.selenocysteine	ENSP02970034343	Well annotated
DIO.3.selenocysteine	ENSP02970034348	Upstream
DIO.3.selenocysteine	ENSP02970034351	Out of frame
DIO.3.selenocysteine	ENSP02970034358	Upstream
DIO.3.selenocysteine	ENSP02970034360	Upstream
DIO.3.selenocysteine	ENSP02970034363	Upstream
DIO.4.selenocysteine	ENSP02970053769	Well annotated
DIO.4.selenocysteine	ENSP02970053773	Well annotated
DIO.4.selenocysteine	ENSP02970053775	Well annotated
DIO.4.selenocysteine	ENSP02970053779	Out of frame
DIO.4.selenocysteine	ENSP02970053780	Out of frame
DIO.4.selenocysteine	ENSP02970053781	Upstream
DIO.4.selenocysteine	ENSP02970053784	Out of frame
DIO.4.selenocysteine	ENSP02970053789	Skipped
DIO.4.selenocysteine	ENSP02970053792	Downstream
DIO.4.selenocysteine	ENSP02970053794	Well annotated
DIO.4.selenocysteine	ENSP02970053795	Upstream
DIO.4.selenocysteine	ENSP02970053797	Upstream
GPX.11.selenocysteine	ENSP02970003243	Well annotated
GPX.11.selenocysteine	ENSP02970003244	Well annotated
GPX.11.selenocysteine	ENSP02970003245	Well annotated
GPX.11.selenocysteine	ENSP02970003246	Well annotated
GPX.11.selenocysteine	ENSP02970003247	Well annotated
GPX.11.selenocysteine	ENSP02970003248	Well annotated
GPX.11.selenocysteine	ENSP02970003249	Well annotated
GPX.11.selenocysteine	ENSP02970003250	Downstream
GPX.11.selenocysteine	ENSP02970003251	Well annotated
GPX.11.selenocysteine	ENSP02970003252	Well annotated
GPX.11.selenocysteine	ENSP02970003253	Well annotated
GPX.11.selenocysteine	ENSP02970003254	Downstream
GPX.16.selenocysteine	ENSP02970089768	Well annotated
GPX.16.selenocysteine	ENSP02970089770	Well annotated
GPX.16.selenocysteine	ENSP02970089771	Upstream
GPX.16.selenocysteine	ENSP02970089772	Upstream
GPX.16.selenocysteine	ENSP02970089773	Out of frame
GPX.18.selenocysteine	ENSP02970000042	Well annotated
GPX.18.selenocysteine	ENSP02970000043	Well annotated
GPX.3.selenocysteine	ENSP02970083701	Well annotated
GPX.3.selenocysteine	ENSP02970083703	Well annotated
GPX.3.selenocysteine	ENSP02970083704	Skipped
GPX.3.selenocysteine	ENSP02970083705	Well annotated
GPX.3.selenocysteine	ENSP02970083706	Well annotated
GPX.3.selenocysteine	ENSP02970083707	Well annotated
GPX.3.selenocysteine	ENSP02970083709	Skipped
GPX.3.selenocysteine	ENSP02970083711	Well annotated
GPX.3.selenocysteine	ENSP02970083713	Well annotated
GPX.3.selenocysteine	ENSP02970083714	Well annotated
GPX.3.selenocysteine	ENSP02970083715	Well annotated
GPX.3.selenocysteine	ENSP02970083716	Upstream
GPX.3.selenocysteine	ENSP02970083717	Well annotated
GPX.3.selenocysteine	ENSP02970083718	Well annotated
GPX.5.selenocysteine	ENSP02970028777	Well annotated
GPX.5.selenocysteine	ENSP02970028779	Well annotated
GPX.5.selenocysteine	ENSP02970028780	Skipped
GPX.5.selenocysteine	ENSP02970028781	Well annotated
MSRB.3.selenocysteine	ENSP02970110948	Out of frame
MSRB.5.selenocysteine	ENSP02970058080	Well annotated
MSRB.5.selenocysteine	ENSP02970058081	Upstream
MSRB.5.selenocysteine	ENSP02970058082	Out of frame
MSRB.5.selenocysteine	ENSP02970058083	Out of frame
SELENOF.3.selenocysteine	ENSP02970100772	Well annotated
SELENOF.3.selenocysteine	ENSP02970100773	Well annotated
SELENOF.3.selenocysteine	ENSP02970100774	Well annotated
SELENOF.3.selenocysteine	ENSP02970100775	Out of frame
SELENOF.3.selenocysteine	ENSP02970100776	Out of frame
SELENOH.2.selenocysteine	ENSP02970083983	Well annotated
SELENOH.2.selenocysteine	ENSP02970083984	Well annotated
SELENOH.2.selenocysteine	ENSP02970083985	Out of frame
SELENOI.3.selenocysteine	ENSP02970075213	Upstream
SELENOI.3.selenocysteine	ENSP02970075216	Well annotated
SELENOI.3.selenocysteine	ENSP02970075219	Upstream
SELENOK.5.selenocysteine	ENSP02970092780	Well annotated
SELENOK.5.selenocysteine	ENSP02970092781	Out of frame
SELENOM.2.selenocysteine	ENSP02970002602	Well annotated
SELENOM.2.selenocysteine	ENSP02970002603	Well annotated
SELENON.4.selenocysteine	ENSP02970106967	Well annotated
SELENON.4.selenocysteine	ENSP02970106968	Well annotated
SELENON.4.selenocysteine	ENSP02970106969	Well annotated
SELENON.4.selenocysteine	ENSP02970106970	Well annotated
SELENOO.7.selenocysteine	ENSP02970049054	Well annotated
SELENOP.3.selenocysteine	ENSP02970098189	Well annotated
SELENOP.3.selenocysteine	ENSP02970098190	Well annotated
SELENOP.3.selenocysteine	ENSP02970098191	Well annotated
SELENOP.3.selenocysteine	ENSP02970098192	Well annotated
SELENOP.3.selenocysteine	ENSP02970098193	Well annotated
SELENOP.3.selenocysteine	ENSP02970098194	Well annotated
SELENOS.2.selenocysteine	ENSP02970103999	Well annotated
SELENOS.2.selenocysteine	ENSP02970104000	Well annotated
SELENOS.2.selenocysteine	ENSP02970104001	Well annotated
SELENOS.2.selenocysteine	ENSP02970104002	Upstream
SELENOT.5.selenocysteine	ENSP02970052636	Downstream
SELENOT.5.selenocysteine	ENSP02970052638	Downstream
SELENOT.5.selenocysteine	ENSP02970052640	Well annotated
SELENOT.5.selenocysteine	ENSP02970052642	Upstream
SELENOT.5.selenocysteine	ENSP02970052644	Downstream
SELENOW.3.selenocysteine	ENSP02970025971	Well annotated
SELENOW.4.selenocysteine	ENSP02970043503	Well annotated
SELENOW.4.selenocysteine	ENSP02970043505	Well annotated
SELENOW.4.selenocysteine	ENSP02970043508	Well annotated
SELENOW.4.selenocysteine	ENSP02970043510	Well annotated
SEPHS2.1.selenocysteine	ENSP02970081853	Well annotated
TXNRD.10.selenocysteine	ENSP02970063909	Well annotated
TXNRD.10.selenocysteine	ENSP02970063910	Upstream
TXNRD.10.selenocysteine	ENSP02970063912	Well annotated
TXNRD.10.selenocysteine	ENSP02970063914	Well annotated
TXNRD.10.selenocysteine	ENSP02970063917	Upstream
TXNRD.10.selenocysteine	ENSP02970063919	Well annotated
TXNRD.10.selenocysteine	ENSP02970063921	Upstream
TXNRD.10.selenocysteine	ENSP02970063923	Well annotated
TXNRD.10.selenocysteine	ENSP02970063924	Upstream
TXNRD.10.selenocysteine	ENSP02970063927	Well annotated
TXNRD.10.selenocysteine	ENSP02970063928	Upstream
TXNRD.10.selenocysteine	ENSP02970063929	Upstream
TXNRD.10.selenocysteine	ENSP02970063930	Well annotated
TXNRD.10.selenocysteine	ENSP02970063931	Upstream
TXNRD.10.selenocysteine	ENSP02970063932	Upstream
TXNRD.13.selenocysteine	ENSP02970069701	Well annotated
TXNRD.13.selenocysteine	ENSP02970069704	Well annotated
TXNRD.34.selenocysteine	ENSP02970001517	Well annotated
TXNRD.34.selenocysteine	ENSP02970001518	Well annotated
TXNRD.34.selenocysteine	ENSP02970001519	Out of frame
TXNRD.34.selenocysteine	ENSP02970001520	Well annotated
TXNRD.34.selenocysteine	ENSP02970001521	Well annotated
TXNRD.34.selenocysteine	ENSP02970001522	Well annotated
TXNRD.34.selenocysteine	ENSP02970001523	Well annotated
TXNRD.34.selenocysteine	ENSP02970001524	Well annotated
TXNRD.34.selenocysteine	ENSP02970001525	Well annotated
TXNRD.34.selenocysteine	ENSP02970001526	Well annotated
TXNRD.34.selenocysteine	ENSP02970001527	Upstream
TXNRD.34.selenocysteine	ENSP02970001528	Upstream
