transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSSCP00105018403	Well annotated
DIO.3.selenocysteine	ENSSSCP00105051306	Skipped
DIO.3.selenocysteine	ENSSSCP00105051312	Well annotated
DIO.5.selenocysteine	ENSSSCP00105052062	Skipped
DIO.5.selenocysteine	ENSSSCP00105052076	Well annotated
GPX.16.selenocysteine	ENSSSCP00105040839	Stop codon
GPX.16.selenocysteine	ENSSSCP00105040865	Skipped
GPX.2.selenocysteine	ENSSSCP00105005980	Well annotated
GPX.22.selenocysteine	ENSSSCP00105029398	Skipped
GPX.22.selenocysteine	ENSSSCP00105029417	Skipped
GPX.25.selenocysteine	ENSSSCP00105050106	Skipped
GPX.25.selenocysteine	ENSSSCP00105050129	Skipped
GPX.25.selenocysteine	ENSSSCP00105050146	Skipped
GPX.25.selenocysteine	ENSSSCP00105050159	Well annotated
GPX.4.selenocysteine	ENSSSCP00105052588	Well annotated
MSRB.3.selenocysteine	ENSSSCP00105040949	Well annotated
SELENOF.3.selenocysteine	ENSSSCP00105021067	Skipped
SELENOF.3.selenocysteine	ENSSSCP00105021082	Skipped
SELENOH.2.selenocysteine	ENSSSCP00105052258	Well annotated
SELENOI.3.selenocysteine	ENSSSCP00105039185	Skipped
SELENOI.3.selenocysteine	ENSSSCP00105039203	Well annotated
SELENOK.3.selenocysteine	ENSSSCP00105040728	Well annotated
SELENOM.2.selenocysteine	ENSSSCP00105043668	Skipped
SELENOM.2.selenocysteine	ENSSSCP00105043673	Well annotated
SELENON.12.selenocysteine	ENSSSCP00105038192	Skipped
SELENOO.8.selenocysteine	ENSSSCP00105035264	Stop codon
SELENOO.8.selenocysteine	ENSSSCP00105035279	Stop codon
SELENOO.8.selenocysteine	ENSSSCP00105035307	Stop codon
SELENOS.3.selenocysteine	ENSSSCP00105006159	Well annotated
SELENOT.5.selenocysteine	ENSSSCP00105016549	Well annotated
SELENOW.2.selenocysteine	ENSSSCP00105050710	Well annotated
SELENOW.3.selenocysteine	ENSSSCP00105038374	Skipped
SELENOW.3.selenocysteine	ENSSSCP00105038389	Well annotated
TXNRD.13.selenocysteine	ENSSSCP00105036830	Skipped
TXNRD.13.selenocysteine	ENSSSCP00105036898	Skipped
TXNRD.13.selenocysteine	ENSSSCP00105036917	Skipped
TXNRD.31.selenocysteine	ENSSSCP00105033993	Stop codon
TXNRD.31.selenocysteine	ENSSSCP00105034028	Stop codon
TXNRD.4.selenocysteine	ENSSSCP00105015868	Upstream
TXNRD.4.selenocysteine	ENSSSCP00105015878	Stop codon
TXNRD.4.selenocysteine	ENSSSCP00105015894	Upstream
