transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_044233252.1	Well annotated
DIO.2.selenocysteine	cds-XP_044231407.1	Well annotated
DIO.4.selenocysteine	cds-XP_044231983.1	Well annotated
DIO.5.selenocysteine	cds-XP_044217443.1	Well annotated
GPX.13.selenocysteine	cds-XP_044218429.1	Well annotated
GPX.13.selenocysteine	cds-XP_044218430.1	Well annotated
GPX.13.selenocysteine	cds-XP_044218431.1	Well annotated
GPX.18.selenocysteine	cds-XP_044193868.1	Well annotated
GPX.2.selenocysteine	cds-XP_044203711.1	Well annotated
GPX.21.selenocysteine	cds-XP_044224807.1	Well annotated
GPX.3.selenocysteine	cds-XP_044203940.1	Well annotated
GPX.6.selenocysteine	cds-XP_044231263.1	Well annotated
GPX.8.selenocysteine	cds-XP_044220642.1	Well annotated
MSRB.2.selenocysteine	cds-XP_044186972.1	Well annotated
MSRB.5.selenocysteine	cds-XP_044193693.1	Well annotated
SELENOE.5.selenocysteine	cds-XP_044193616.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_044222927.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_044219778.1	Well annotated
SELENOI.4.selenocysteine	cds-XP_044185417.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_044196342.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_044196343.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_044223545.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_044207834.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_044207835.1	Well annotated
SELENOL.3.selenocysteine	cds-XP_044232361.1	Well annotated
SELENOL.3.selenocysteine	cds-XP_044232362.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_044228205.1	Well annotated
SELENON.5.selenocysteine	cds-XP_044230637.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_044212278.1	Well annotated
SELENOO.10.selenocysteine	cds-XP_044198575.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_044230595.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_044230605.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_044223244.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_044223245.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_044201646.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_044201725.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_044220661.1	Well annotated
SELENOT.3.selenocysteine	cds-XP_044220662.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_044223262.1	Well annotated
SELENOU.15.selenocysteine	cds-XP_044193897.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_044228985.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_044228986.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_044228987.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_044188079.1	Well annotated
SEPHS2.13.selenocysteine	cds-XP_044206909.1	Well annotated
TXNRD.20.selenocysteine	cds-XP_044199085.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_044199086.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_044199087.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_044199088.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_044199089.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_044220729.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_044204964.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_044204965.1	Stop codon
