transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_021035037.2	Well annotated
DIO.3.selenocysteine	cds-XP_085686720.1	Out of frame
DIO.5.selenocysteine	cds-XP_021017117.1	Well annotated
DIO.5.selenocysteine	cds-XP_021017118.1	Skipped
GPX.10.selenocysteine	cds-XP_021034332.1	Well annotated
GPX.2.selenocysteine	cds-XP_021032890.2	Well annotated
GPX.25.selenocysteine	cds-XP_085699110.1	Well annotated
GPX.25.selenocysteine	cds-XP_085699111.1	Well annotated
GPX.8.selenocysteine	cds-XP_021027696.1	Well annotated
MSRB.1.selenocysteine	cds-XP_021004721.1	Well annotated
MSRB.1.selenocysteine	cds-XP_021004722.1	Upstream
SELENOF.3.selenocysteine	cds-XP_021013724.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_021013725.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_021012336.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_021012337.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_021018132.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_085692687.1	Well annotated
SELENOK.9.selenocysteine	cds-XP_021037740.1	Well annotated
SELENOK.9.selenocysteine	cds-XP_021037741.2	Well annotated
SELENOM.3.selenocysteine	cds-XP_021033774.1	Well annotated
SELENON.10.selenocysteine	cds-XP_021016322.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_021038715.2	Well annotated
SELENOP.1.selenocysteine	cds-XP_021038413.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_021023128.2	Well annotated
SELENOS.3.selenocysteine	cds-XP_021023130.2	Well annotated
SELENOT.3.selenocysteine	cds-XP_021014343.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_021024021.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_021023452.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_021024330.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_021020771.2	Well annotated
TXNRD.34.selenocysteine	cds-XP_021040148.2	Well annotated
TXNRD.8.selenocysteine	cds-XP_021030741.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_021030742.2	Well annotated
TXNRD.8.selenocysteine	cds-XP_021030743.2	Well annotated
TXNRD.8.selenocysteine	cds-XP_085699185.1	Well annotated
