transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04860045163	Downstream
DIO.1.selenocysteine	ENSP04860045165	Well annotated
DIO.3.selenocysteine	ENSP04860065950	Well annotated
DIO.3.selenocysteine	ENSP04860065951	Well annotated
DIO.3.selenocysteine	ENSP04860065953	Upstream
DIO.3.selenocysteine	ENSP04860065954	Out of frame
DIO.3.selenocysteine	ENSP04860065956	Upstream
DIO.3.selenocysteine	ENSP04860065957	Upstream
DIO.3.selenocysteine	ENSP04860065958	Upstream
DIO.4.selenocysteine	ENSP04860072830	Well annotated
DIO.4.selenocysteine	ENSP04860072831	Well annotated
DIO.4.selenocysteine	ENSP04860072832	Well annotated
DIO.4.selenocysteine	ENSP04860072833	Out of frame
DIO.4.selenocysteine	ENSP04860072834	Out of frame
DIO.4.selenocysteine	ENSP04860072835	Upstream
DIO.4.selenocysteine	ENSP04860072836	Out of frame
DIO.4.selenocysteine	ENSP04860072837	Skipped
DIO.4.selenocysteine	ENSP04860072838	Downstream
DIO.4.selenocysteine	ENSP04860072839	Well annotated
DIO.4.selenocysteine	ENSP04860072840	Upstream
DIO.4.selenocysteine	ENSP04860072841	Upstream
GPX.12.selenocysteine	ENSP04860109339	Well annotated
GPX.12.selenocysteine	ENSP04860109340	Well annotated
GPX.12.selenocysteine	ENSP04860109341	Upstream
GPX.12.selenocysteine	ENSP04860109342	Upstream
GPX.12.selenocysteine	ENSP04860109343	Out of frame
GPX.20.selenocysteine	ENSP04860002771	Well annotated
GPX.20.selenocysteine	ENSP04860002772	Well annotated
GPX.25.selenocysteine	ENSP04860006550	Well annotated
GPX.25.selenocysteine	ENSP04860006551	Well annotated
GPX.25.selenocysteine	ENSP04860006552	Well annotated
GPX.25.selenocysteine	ENSP04860006553	Well annotated
GPX.25.selenocysteine	ENSP04860006554	Well annotated
GPX.25.selenocysteine	ENSP04860006555	Well annotated
GPX.25.selenocysteine	ENSP04860006556	Well annotated
GPX.25.selenocysteine	ENSP04860006557	Downstream
GPX.25.selenocysteine	ENSP04860006558	Well annotated
GPX.25.selenocysteine	ENSP04860006559	Well annotated
GPX.25.selenocysteine	ENSP04860006560	Well annotated
GPX.25.selenocysteine	ENSP04860006561	Downstream
GPX.3.selenocysteine	ENSP04860088794	Well annotated
GPX.3.selenocysteine	ENSP04860088795	Well annotated
GPX.3.selenocysteine	ENSP04860088796	Skipped
GPX.3.selenocysteine	ENSP04860088797	Well annotated
GPX.3.selenocysteine	ENSP04860088798	Well annotated
GPX.3.selenocysteine	ENSP04860088799	Well annotated
GPX.3.selenocysteine	ENSP04860088800	Skipped
GPX.3.selenocysteine	ENSP04860088801	Well annotated
GPX.3.selenocysteine	ENSP04860088802	Well annotated
GPX.3.selenocysteine	ENSP04860088803	Well annotated
GPX.3.selenocysteine	ENSP04860088804	Well annotated
GPX.3.selenocysteine	ENSP04860088805	Upstream
GPX.3.selenocysteine	ENSP04860088806	Well annotated
GPX.3.selenocysteine	ENSP04860088807	Well annotated
GPX.5.selenocysteine	ENSP04860040375	Well annotated
GPX.5.selenocysteine	ENSP04860040376	Well annotated
GPX.5.selenocysteine	ENSP04860040378	Skipped
GPX.5.selenocysteine	ENSP04860040380	Well annotated
MSRB.3.selenocysteine	ENSP04860077397	Well annotated
MSRB.3.selenocysteine	ENSP04860077398	Upstream
MSRB.3.selenocysteine	ENSP04860077400	Out of frame
MSRB.3.selenocysteine	ENSP04860077401	Out of frame
SELENOF.3.selenocysteine	ENSP04860038728	Well annotated
SELENOF.3.selenocysteine	ENSP04860038729	Well annotated
SELENOF.3.selenocysteine	ENSP04860038730	Well annotated
SELENOF.3.selenocysteine	ENSP04860038731	Out of frame
SELENOF.3.selenocysteine	ENSP04860038732	Out of frame
SELENOH.2.selenocysteine	ENSP04860060046	Well annotated
SELENOH.2.selenocysteine	ENSP04860060047	Well annotated
SELENOH.2.selenocysteine	ENSP04860060048	Out of frame
SELENOI.3.selenocysteine	ENSP04860066580	Upstream
SELENOI.3.selenocysteine	ENSP04860066581	Well annotated
SELENOI.3.selenocysteine	ENSP04860066582	Upstream
SELENOK.7.selenocysteine	ENSP04860088404	Well annotated
SELENOK.7.selenocysteine	ENSP04860088405	Out of frame
SELENOM.2.selenocysteine	ENSP04860023993	Well annotated
SELENOM.2.selenocysteine	ENSP04860023994	Well annotated
SELENON.4.selenocysteine	ENSP04860074472	Well annotated
SELENON.4.selenocysteine	ENSP04860074473	Well annotated
SELENON.4.selenocysteine	ENSP04860074474	Well annotated
SELENON.4.selenocysteine	ENSP04860074475	Well annotated
SELENOO.7.selenocysteine	ENSP04860043505	Well annotated
SELENOP.3.selenocysteine	ENSP04860065847	Well annotated
SELENOP.3.selenocysteine	ENSP04860065848	Well annotated
SELENOP.3.selenocysteine	ENSP04860065849	Well annotated
SELENOP.3.selenocysteine	ENSP04860065850	Well annotated
SELENOP.3.selenocysteine	ENSP04860065851	Well annotated
SELENOP.3.selenocysteine	ENSP04860065852	Well annotated
SELENOS.2.selenocysteine	ENSP04860075371	Well annotated
SELENOS.2.selenocysteine	ENSP04860075372	Well annotated
SELENOS.2.selenocysteine	ENSP04860075373	Well annotated
SELENOS.2.selenocysteine	ENSP04860075374	Upstream
SELENOT.5.selenocysteine	ENSP04860086959	Downstream
SELENOT.5.selenocysteine	ENSP04860086960	Downstream
SELENOT.5.selenocysteine	ENSP04860086961	Well annotated
SELENOT.5.selenocysteine	ENSP04860086962	Upstream
SELENOT.5.selenocysteine	ENSP04860086963	Downstream
SELENOW.3.selenocysteine	ENSP04860030936	Well annotated
SELENOW.4.selenocysteine	ENSP04860095526	Well annotated
SELENOW.4.selenocysteine	ENSP04860095527	Well annotated
SELENOW.4.selenocysteine	ENSP04860095528	Well annotated
SELENOW.4.selenocysteine	ENSP04860095529	Well annotated
SEPHS2.1.selenocysteine	ENSP04860031632	Well annotated
TXNRD.10.selenocysteine	ENSP04860110581	Upstream
TXNRD.10.selenocysteine	ENSP04860110582	Upstream
TXNRD.10.selenocysteine	ENSP04860110583	Well annotated
TXNRD.10.selenocysteine	ENSP04860110584	Upstream
TXNRD.10.selenocysteine	ENSP04860110585	Upstream
TXNRD.10.selenocysteine	ENSP04860110586	Well annotated
TXNRD.10.selenocysteine	ENSP04860110587	Upstream
TXNRD.10.selenocysteine	ENSP04860110588	Well annotated
TXNRD.10.selenocysteine	ENSP04860110589	Upstream
TXNRD.10.selenocysteine	ENSP04860110590	Well annotated
TXNRD.10.selenocysteine	ENSP04860110591	Upstream
TXNRD.10.selenocysteine	ENSP04860110592	Well annotated
TXNRD.10.selenocysteine	ENSP04860110593	Well annotated
TXNRD.10.selenocysteine	ENSP04860110594	Upstream
TXNRD.10.selenocysteine	ENSP04860110595	Well annotated
TXNRD.13.selenocysteine	ENSP04860080240	Well annotated
TXNRD.13.selenocysteine	ENSP04860080243	Well annotated
TXNRD.34.selenocysteine	ENSP04860007170	Well annotated
TXNRD.34.selenocysteine	ENSP04860007171	Well annotated
TXNRD.34.selenocysteine	ENSP04860007172	Out of frame
TXNRD.34.selenocysteine	ENSP04860007173	Well annotated
TXNRD.34.selenocysteine	ENSP04860007174	Well annotated
TXNRD.34.selenocysteine	ENSP04860007175	Well annotated
TXNRD.34.selenocysteine	ENSP04860007176	Well annotated
TXNRD.34.selenocysteine	ENSP04860007177	Well annotated
TXNRD.34.selenocysteine	ENSP04860007178	Well annotated
TXNRD.34.selenocysteine	ENSP04860007179	Well annotated
TXNRD.34.selenocysteine	ENSP04860007180	Upstream
TXNRD.34.selenocysteine	ENSP04860007181	Upstream
