transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAI5090685.1	Skipped
GPX.13.selenocysteine	cds-KAI5092735.1	Downstream
GPX.17.selenocysteine	cds-KAI5100841.1	Out of frame
GPX.2.selenocysteine	cds-KAI5093681.1	Downstream
GPX.24.selenocysteine	cds-KAI5100994.1	Downstream
GPX.5.selenocysteine	cds-KAI5102121.1	Skipped
MSRB.1.selenocysteine	cds-KAI5103199.1	Stop codon
MSRB.2.selenocysteine	cds-KAI5097418.1	Upstream
SELENOE.4.selenocysteine	cds-KAI5088144.1	Skipped
SELENOF.1.selenocysteine	cds-KAI5099334.1	Stop codon
SELENOH.1.selenocysteine	cds-KAI5104875.1	Skipped
SELENOI.3.selenocysteine	cds-KAI5096070.1	Stop codon
SELENOK.1.selenocysteine	cds-KAI5101547.1	Stop codon
SELENON.1.selenocysteine	cds-KAI5102744.1	Skipped
SELENOO.2.selenocysteine	cds-KAI5098091.1	Stop codon
SELENOS.1.selenocysteine	cds-KAI5101238.1	Stop codon
SELENOT.5.selenocysteine	cds-KAI5104917.1	Skipped
SELENOU.6.selenocysteine	cds-KAI5103615.1	Downstream
SELENOU.8.selenocysteine	cds-KAI5108169.1	Skipped
SELENOW.2.selenocysteine	cds-KAI5097267.1	Downstream
TXNRD.3.selenocysteine	cds-KAI5109172.1	Stop codon
