transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	cds-KAG8514391.1	Skipped
DIO.5.selenocysteine	cds-KAG8518924.1	Skipped
GPX.15.selenocysteine	cds-KAG8505914.1	Downstream
GPX.15.selenocysteine	cds-KAG8505917.1	Stop codon
GPX.2.selenocysteine	cds-KAG8523987.1	Skipped
GPX.22.selenocysteine	cds-KAG8509304.1	Downstream
GPX.22.selenocysteine	cds-KAG8509311.1	Stop codon
GPX.4.selenocysteine	cds-KAG8511723.1	Out of frame
GPX.8.selenocysteine	cds-KAG8519198.1	Skipped
MSRB.1.selenocysteine	cds-KAG8506412.1	Upstream
SELENOF.3.selenocysteine	cds-KAG8519485.1	Skipped
SELENOH.1.selenocysteine	cds-KAG8511262.1	Skipped
SELENOI.3.selenocysteine	cds-KAG8522464.1	Out of frame
SELENOM.1.selenocysteine	cds-KAG8521265.1	Out of frame
SELENON.13.selenocysteine	cds-KAG8506698.1	Skipped
SELENOP.3.selenocysteine	cds-KAG8518863.1	Out of frame
SELENOS.3.selenocysteine	cds-KAG8516374.1	Out of frame
SELENOT.3.selenocysteine	cds-KAG8511512.1	Skipped
TXNRD.22.selenocysteine	cds-KAG8516223.1	Out of frame
TXNRD.31.selenocysteine	cds-KAG8521957.1	Out of frame
TXNRD.9.selenocysteine	cds-KAG8513997.1	Out of frame
