transcript_id	transcript_id_ens	Type_annotation
GPX.10.selenocysteine	cds-XP_077500661.1	Well annotated
GPX.10.selenocysteine	cds-XP_077500663.1	Well annotated
MsrA.4.selenocysteine	cds-XP_077503383.1	Downstream
MsrA.4.selenocysteine	cds-XP_077503384.1	Downstream
MsrA.4.selenocysteine	cds-XP_077503385.1	Downstream
MsrA.4.selenocysteine	cds-XP_077503386.1	Downstream
MsrA.6.selenocysteine	cds-XP_077518743.1	Downstream
MsrA.6.selenocysteine	cds-XP_077518744.1	Downstream
MsrA.6.selenocysteine	cds-XP_077518745.1	Downstream
SELENOP.2.selenocysteine	cds-XP_077517059.1	Downstream
SELENOP.2.selenocysteine	cds-XP_077517060.1	Downstream
SELENOS.17.selenocysteine	cds-XP_077524819.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_077513508.1	Downstream
SEPHS2.10.selenocysteine	cds-XP_077499861.1	Downstream
SEPHS2.10.selenocysteine	cds-XP_077499862.1	Downstream
SEPHS2.10.selenocysteine	cds-XP_077499863.1	Downstream
SEPHS2.3.selenocysteine	cds-XP_077496915.1	Well annotated
TXNRD.14.selenocysteine	cds-XP_077510458.1	Stop codon
