transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCFSP00010024820	Skipped
DIO.2.selenocysteine	ENSCFSP00010057656	Skipped
GPX.11.selenocysteine	ENSCFSP00010000516	Skipped
GPX.14.selenocysteine	ENSCFSP00010030320	Well annotated
GPX.14.selenocysteine	ENSCFSP00010030321	Downstream
GPX.16.selenocysteine	ENSCFSP00010059100	Well annotated
GPX.17.selenocysteine	ENSCFSP00010059780	Downstream
GPX.2.selenocysteine	ENSCFSP00010042121	Stop codon
GPX.2.selenocysteine	ENSCFSP00010042122	Downstream
GPX.23.selenocysteine	ENSCFSP00010048263	Downstream
GPX.23.selenocysteine	ENSCFSP00010048265	Downstream
GPX.23.selenocysteine	ENSCFSP00010048266	Downstream
GPX.4.selenocysteine	ENSCFSP00010034410	Stop codon
GPX.4.selenocysteine	ENSCFSP00010034411	Downstream
GPX.6.selenocysteine	ENSCFSP00010044349	Downstream
MSRB.5.selenocysteine	ENSCFSP00010025425	Stop codon
MSRB.7.selenocysteine	ENSCFSP00010025015	Stop codon
SELENOE.5.selenocysteine	ENSCFSP00010038901	Skipped
SELENOF.3.selenocysteine	ENSCFSP00010017118	Skipped
SELENOI.3.selenocysteine	ENSCFSP00010052506	Stop codon
SELENOI.3.selenocysteine	ENSCFSP00010052507	Stop codon
SELENOK.1.selenocysteine	ENSCFSP00010056766	Upstream
SELENOK.1.selenocysteine	ENSCFSP00010056767	Stop codon
SELENOM.3.selenocysteine	ENSCFSP00010054714	Downstream
SELENON.8.selenocysteine	ENSCFSP00010007584	Skipped
SELENON.8.selenocysteine	ENSCFSP00010007585	Skipped
SELENOO.3.selenocysteine	ENSCFSP00010051421	Stop codon
SELENOP.5.selenocysteine	ENSCFSP00010035513	Downstream
SELENOS.2.selenocysteine	ENSCFSP00010005923	Stop codon
SELENOT.10.selenocysteine	ENSCFSP00010003708	Downstream
SELENOT.3.selenocysteine	ENSCFSP00010004346	Downstream
SELENOU.10.selenocysteine	ENSCFSP00010040557	Stop codon
SELENOU.10.selenocysteine	ENSCFSP00010040558	Downstream
SELENOU.10.selenocysteine	ENSCFSP00010040559	Downstream
SELENOU.8.selenocysteine	ENSCFSP00010051942	Out of frame
SELENOW.5.selenocysteine	ENSCFSP00010043437	Skipped
SEPHS2.5.selenocysteine	ENSCFSP00010049717	Skipped
SEPHS2.5.selenocysteine	ENSCFSP00010049718	Downstream
TXNRD.13.selenocysteine	ENSCFSP00010004816	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005440	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005723	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005778	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005779	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005785	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005787	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005789	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005801	Stop codon
TXNRD.13.selenocysteine	ENSCFSP00010005870	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010023946	Upstream
TXNRD.3.selenocysteine	ENSCFSP00010024203	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024280	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024281	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024282	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024291	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024292	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024293	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024329	Stop codon
TXNRD.3.selenocysteine	ENSCFSP00010024331	Stop codon
