transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_046935721.1	Well annotated
DIO.3.selenocysteine	cds-XP_046935669.1	Out of frame
DIO.5.selenocysteine	cds-XP_046941683.1	Well annotated
DIO.5.selenocysteine	cds-XP_046941684.1	Well annotated
DIO.5.selenocysteine	cds-XP_046941685.1	Well annotated
GPX.11.selenocysteine	cds-XP_046956815.1	Well annotated
GPX.13.selenocysteine	cds-XP_046948245.1	Well annotated
GPX.2.selenocysteine	cds-XP_046951792.1	Well annotated
GPX.4.selenocysteine	cds-XP_046935464.1	Well annotated
MSRB.1.selenocysteine	cds-XP_046953897.1	Well annotated
MSRB.1.selenocysteine	cds-XP_046953898.1	Well annotated
MSRB.1.selenocysteine	cds-XP_046953899.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_046939732.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_046939735.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_046926788.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_046926789.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_046924811.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_046924812.1	Upstream
SELENOK.3.selenocysteine	cds-XP_046952744.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_046944142.1	Well annotated
SELENON.11.selenocysteine	cds-XP_046940188.1	Well annotated
SELENON.11.selenocysteine	cds-XP_046940189.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_046921052.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_046942731.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_046955389.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_046938580.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_046935063.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_046933691.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_046933692.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_046943653.1	Well annotated
TXNRD.22.selenocysteine	cds-XP_046951160.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954231.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954232.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954233.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954234.1	Out of frame
TXNRD.34.selenocysteine	cds-XP_046954235.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954236.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_046954237.1	Out of frame
TXNRD.34.selenocysteine	cds-XP_046954238.1	Upstream
TXNRD.7.selenocysteine	cds-XP_046923327.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_046923328.1	Stop codon
