transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSFQAP00000011639	Downstream
DIO.2.selenocysteine	ENSFQAP00000035372	Downstream
DIO.3.selenocysteine	ENSFQAP00000039334	Downstream
GPX.1.selenocysteine	ENSFQAP00000029701	Downstream
GPX.10.selenocysteine	ENSFQAP00000037758	Downstream
GPX.10.selenocysteine	ENSFQAP00000037760	Downstream
GPX.16.selenocysteine	ENSFQAP00000019589	Downstream
GPX.20.selenocysteine	ENSFQAP00000013619	Downstream
GPX.20.selenocysteine	ENSFQAP00000013620	Downstream
GPX.3.selenocysteine	ENSFQAP00000009287	Skipped
GPX.3.selenocysteine	ENSFQAP00000009288	Downstream
GPX.5.selenocysteine	ENSFQAP00000025496	Downstream
GPX.7.selenocysteine	ENSFQAP00000015810	Skipped
GPX.7.selenocysteine	ENSFQAP00000015823	Skipped
GPX.8.selenocysteine	ENSFQAP00000037615	Downstream
MSRB.4.selenocysteine	ENSFQAP00000035778	Stop codon
MSRB.6.selenocysteine	ENSFQAP00000022233	Stop codon
MSRB.8.selenocysteine	ENSFQAP00000009171	Stop codon
SELENOF.2.selenocysteine	ENSFQAP00000000299	Downstream
SELENOJ.10.selenocysteine	ENSFQAP00000007114	Upstream
SELENOJ.10.selenocysteine	ENSFQAP00000007116	Stop codon
SELENOJ.10.selenocysteine	ENSFQAP00000007155	Skipped
SELENOJ.5.selenocysteine	ENSFQAP00000017395	Stop codon
SELENOJ.5.selenocysteine	ENSFQAP00000017398	Skipped
SELENOK.2.selenocysteine	ENSFQAP00000030734	Upstream
SELENOM.2.selenocysteine	ENSFQAP00000039337	Downstream
SELENOO.3.selenocysteine	ENSFQAP00000016907	Stop codon
SELENOP.1.selenocysteine	ENSFQAP00000027864	Downstream
SELENOT.2.selenocysteine	ENSFQAP00000032518	Downstream
SELENOT.5.selenocysteine	ENSFQAP00000041168	Skipped
SELENOT.8.selenocysteine	ENSFQAP00000028874	Downstream
SELENOT.8.selenocysteine	ENSFQAP00000028876	Upstream
SELENOU.10.selenocysteine	ENSFQAP00000006671	Downstream
SELENOU.10.selenocysteine	ENSFQAP00000006672	Stop codon
SELENOU.5.selenocysteine	ENSFQAP00000032774	Downstream
SELENOU.5.selenocysteine	ENSFQAP00000032775	Downstream
SEPHS2.10.selenocysteine	ENSFQAP00000004103	Skipped
TXNRD.10.selenocysteine	ENSFQAP00000033622	Upstream
TXNRD.10.selenocysteine	ENSFQAP00000033784	Upstream
TXNRD.10.selenocysteine	ENSFQAP00000033792	Stop codon
TXNRD.10.selenocysteine	ENSFQAP00000033832	Stop codon
TXNRD.10.selenocysteine	ENSFQAP00000034005	Stop codon
TXNRD.10.selenocysteine	ENSFQAP00000034032	Stop codon
TXNRD.10.selenocysteine	ENSFQAP00000034057	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000037472	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000038973	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000038979	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039012	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039095	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039105	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039128	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039132	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039166	Stop codon
TXNRD.22.selenocysteine	ENSFQAP00000039203	Stop codon
TXNRD.32.selenocysteine	ENSFQAP00000036594	Stop codon
