transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_055088048.1	Well annotated
DIO.12.selenocysteine	cds-XP_033821393.1	Well annotated
DIO.12.selenocysteine	cds-XP_055077369.1	Well annotated
DIO.2.selenocysteine	cds-XP_033844795.1	Well annotated
GPX.10.selenocysteine	cds-XP_033820881.1	Well annotated
GPX.10.selenocysteine	cds-XP_033820882.1	Well annotated
GPX.10.selenocysteine	cds-XP_033820884.1	Well annotated
GPX.15.selenocysteine	cds-XP_033830212.1	Well annotated
GPX.21.selenocysteine	cds-XP_033840288.2	Well annotated
GPX.3.selenocysteine	cds-XP_033821815.2	Downstream
GPX.4.selenocysteine	cds-XP_033822480.1	Well annotated
GPX.6.selenocysteine	cds-XP_033844692.1	Well annotated
GPX.7.selenocysteine	cds-XP_033838846.1	Well annotated
MSRB.4.selenocysteine	cds-XP_033840646.1	Well annotated
MSRB.6.selenocysteine	cds-XP_033826783.1	Well annotated
SELENOE.1.selenocysteine	cds-XP_033829033.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_033838804.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_033829461.2	Well annotated
SELENOI.13.selenocysteine	cds-XP_033846384.1	Well annotated
SELENOI.13.selenocysteine	cds-XP_055088340.1	Stop codon
SELENOJ.1.selenocysteine	cds-XP_033837742.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_033825845.1	Stop codon
SELENOL.4.selenocysteine	cds-XP_033847078.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_033828145.1	Well annotated
SELENON.3.selenocysteine	cds-XP_033844235.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_033823974.1	Stop codon
SELENOO.8.selenocysteine	cds-XP_055078292.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_055080363.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_055080364.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_033837826.2	Well annotated
SELENOS.2.selenocysteine	cds-XP_033847567.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_033838776.2	Well annotated
SELENOT.5.selenocysteine	cds-XP_033822580.1	Well annotated
SELENOU.11.selenocysteine	cds-XP_033840115.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_033835388.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_033835389.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_055083134.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_033826989.1	Well annotated
SEPHS2.8.selenocysteine	cds-XP_033825549.1	Downstream
TXNRD.13.selenocysteine	cds-XP_033828614.1	Stop codon
TXNRD.4.selenocysteine	cds-XP_033821820.1	Stop codon
